MESS_DATUM;F;D
2023072901;2.4;130
2023072902;1.4;140
2023072903;2.8;190
2023072904;1.0;200
2023072905;2.2;180
2023072906;1.8;210
2023072907;2.2;260
2023072908;2.3;290
2023072909;2.3;280
2023072910;2.6;250
2023072911;2.2;230
2023072912;3.4;210
2023072913;2.8;200
2023072914;1.8;170
2023072915;1.4;250
2023072916;2.5;300
2023072917;3.0;190
2023072918;2.8;170
2023072919;1.2;130
2023072920;1.6;100
2023072921;1.6;130
2023072922;1.6;120
2023072923;1.1;190
2023073000;0.9;210
2023073001;1.2;240
2023073002;1.1;220
2023073003;1.5;190
2023073004;1.6;190
2023073005;2.1;230
2023073006;2.8;230
2023073007;2.5;250
2023073008;3.5;230
2023073009;3.6;240
2023073010;4.9;250
2023073011;5.6;250
2023073012;4.7;250
2023073013;5.9;260
2023073014;6.6;260
2023073015;6.6;260
2023073016;6.4;260
2023073017;6.3;250
2023073018;5.3;250
2023073019;6.5;270
2023073020;3.8;260
2023073021;2.2;210
2023073022;2.9;210
2023073023;3.7;230
2023073100;4.7;240
2023073101;4.6;240
2023073102;5.4;250
2023073103;3.6;230
2023073104;3.0;220
2023073105;2.8;270
2023073106;2.5;190
2023073107;3.8;190
2023073108;3.3;180
2023073109;3.5;200
2023073110;2.5;170
2023073111;3.1;140
2023073112;5.5;240
2023073113;5.5;230
2023073114;5.5;230
2023073115;7.2;220
2023073116;6.1;210
2023073117;5.7;210
2023073118;3.4;170
2023073119;3.4;180
2023073120;3.6;180
2023073121;4.2;170
2023073122;3.5;170
2023073123;4.2;160
2023080100;3.7;160
2023080101;3.7;170
2023080102;2.8;180
2023080103;2.9;260
2023080104;3.9;270
2023080105;3.5;280
2023080106;3.4;270
2023080107;4.2;260
2023080108;5.1;270
2023080109;5.9;270
2023080110;6.3;260
2023080111;5.7;260
2023080112;7.3;260
2023080113;6.2;250
2023080114;5.4;260
2023080115;6.0;260
2023080116;6.3;250
2023080117;5.8;240
2023080118;5.9;250
2023080119;4.7;230
2023080120;3.8;240
2023080121;2.1;230
2023080122;2.0;200
2023080123;3.1;170
2023080200;2.2;160
2023080201;2.9;160
2023080202;3.4;160
2023080203;3.7;180
2023080204;3.6;130
2023080205;4.5;130
2023080206;4.7;130
2023080207;4.6;130
2023080208;5.7;140
2023080209;6.3;160
2023080210;5.9;160
2023080211;4.8;150
2023080212;5.9;160
2023080213;5.0;170
2023080214;7.6;240
2023080215;5.7;270
2023080216;5.7;270
2023080217;7.3;260
2023080218;6.1;280
2023080219;1.8;260
2023080220;2.4;150
2023080221;3.2;190
2023080222;6.5;210
2023080223;6.4;200
2023080300;5.9;200
2023080301;5.5;190
2023080302;6.7;220
2023080303;6.1;230
2023080304;5.8;220
2023080305;4.0;220
2023080306;5.0;210
2023080307;5.8;210
2023080308;7.1;220
2023080309;6.7;230
2023080310;7.4;240
2023080311;6.1;250
2023080312;7.3;250
2023080313;7.7;260
2023080314;6.8;260
2023080315;7.3;270
2023080316;6.3;270
2023080317;5.1;270
2023080318;3.5;250
2023080319;2.0;260
2023080320;3.3;280
2023080321;1.9;290
2023080322;1.1;270
2023080323;2.3;270
2023080400;2.2;260
2023080401;2.5;300
2023080402;2.3;300
2023080403;1.9;270
2023080404;1.8;270
2023080405;2.2;280
2023080406;1.9;280
2023080407;1.8;280
2023080408;2.2;270
2023080409;2.2;290
2023080410;1.8;310
2023080411;2.2;300
2023080412;1.9;260
2023080413;1.7;300
2023080414;1.9;250
2023080415;2.4;240
2023080416;2.7;290
2023080417;5.2;320
2023080418;4.5;340
2023080419;2.8;360
2023080420;1.2;90
2023080421;1.3;110
2023080422;1.1;130
2023080423;1.4;170
2023080500;0.7;120
2023080501;1.2;210
2023080502;0.9;190
2023080503;1.1;140
2023080504;1.0;130
2023080505;1.4;110
2023080506;2.0;150
2023080507;2.0;160
2023080508;1.6;170
2023080509;2.1;130
2023080510;3.3;140
2023080511;3.8;120
2023080512;3.4;110
2023080513;2.7;110
2023080514;2.4;170
2023080515;1.8;250
2023080516;1.5;90
2023080517;1.3;110
2023080518;1.6;70
2023080519;1.7;110
2023080520;2.5;110
2023080521;3.1;130
2023080522;3.2;140
2023080523;3.0;130
2023080600;3.2;130
2023080601;3.1;130
2023080602;3.8;130
2023080603;3.2;130
2023080604;3.3;120
2023080605;3.2;120
2023080606;2.1;130
2023080607;2.0;200
2023080608;2.7;250
2023080609;2.5;250
2023080610;2.0;280
2023080611;6.0;290
2023080612;7.5;280
2023080613;5.5;270
2023080614;4.4;270
2023080615;4.8;280
2023080616;5.7;270
2023080617;4.9;300
2023080618;4.3;290
2023080619;6.1;300
2023080620;7.0;290
2023080621;6.2;280
2023080622;5.3;280
2023080623;5.9;280
2023080700;5.4;270
2023080701;6.1;270
2023080702;6.4;280
2023080703;6.2;280
2023080704;5.2;280
2023080705;5.9;270
2023080706;5.5;270
2023080707;6.0;270
2023080708;6.2;270
2023080709;6.0;280
2023080710;5.4;280
2023080711;5.8;280
2023080712;6.0;290
2023080713;7.3;290
2023080714;7.5;300
2023080715;6.4;290
2023080716;6.3;300
2023080717;5.3;300
2023080718;4.9;300
2023080719;3.4;290
2023080720;3.0;290
2023080721;2.4;280
2023080722;1.7;240
2023080723;2.2;200
2023080800;2.2;210
2023080801;2.3;190
2023080802;2.3;190
2023080803;1.9;200
2023080804;1.9;190
2023080805;1.8;200
2023080806;2.7;210
2023080807;3.2;200
2023080808;5.3;250
2023080809;5.6;260
2023080810;6.4;260
2023080811;7.4;250
2023080812;6.4;260
2023080813;6.7;260
2023080814;6.5;270
2023080815;5.9;260
2023080816;6.0;260
2023080817;6.1;240
2023080818;4.9;250
2023080819;4.3;240
2023080820;4.8;250
2023080821;4.1;260
2023080822;2.0;250
2023080823;1.2;230
2023080900;1.7;190
2023080901;2.4;220
2023080902;3.7;250
2023080903;3.9;290
2023080904;2.8;330
2023080905;1.7;340
2023080906;1.8;320
2023080907;1.7;330
2023080908;1.5;340
2023080909;1.4;250
2023080910;1.3;290
2023080911;1.5;310
2023080912;1.4;30
2023080913;2.2;300
2023080914;2.7;350
2023080915;2.9;310
2023080916;3.7;290
2023080917;3.9;300
2023080918;3.5;290
2023080919;2.8;290
2023080920;3.0;300
2023080921;3.2;320
2023080922;2.2;330
2023080923;2.2;340
2023081000;1.1;320
2023081001;0.8;150
