MESS_DATUM;V_N
2023072500;8
2023072501;8
2023072502;8
2023072503;8
2023072504;8
2023072505;5
2023072506;8
2023072507;8
2023072508;8
2023072509;8
2023072510;8
2023072511;8
2023072512;5
2023072513;7
2023072514;8
2023072515;8
2023072516;8
2023072517;8
2023072518;8
2023072519;8
2023072520;7
2023072521;3
2023072522;0
2023072523;4
2023072600;7
2023072601;8
2023072602;8
2023072603;8
2023072604;8
2023072605;8
2023072606;8
2023072607;8
2023072608;7
2023072609;7
2023072610;8
2023072611;8
2023072612;8
2023072613;5
2023072614;5
2023072615;1
2023072616;4
2023072617;4
2023072618;5
2023072619;7
2023072620;8
2023072621;8
2023072622;8
2023072623;8
2023072700;8
2023072701;8
2023072702;8
2023072703;8
2023072704;8
2023072705;8
2023072706;8
2023072707;7
2023072708;7
2023072709;8
2023072710;7
2023072711;7
2023072712;8
2023072713;7
2023072714;8
2023072715;8
2023072716;8
2023072717;8
2023072718;7
2023072719;7
2023072720;8
2023072721;8
2023072722;8
2023072723;7
2023072800;8
2023072801;7
2023072802;7
2023072803;8
2023072804;7
2023072805;8
2023072806;7
2023072807;7
2023072808;8
2023072809;8
2023072810;8
2023072811;8
2023072812;8
2023072813;7
2023072814;8
2023072815;8
2023072816;8
2023072817;8
2023072818;7
2023072819;0
2023072820;8
2023072821;8
2023072822;8
2023072823;7
2023072900;8
2023072901;8
2023072902;8
2023072903;8
2023072904;8
2023072905;8
2023072906;8
2023072907;8
2023072908;8
2023072909;8
2023072910;7
2023072911;8
2023072912;8
2023072913;2
2023072914;8
2023072915;8
2023072916;7
2023072917;8
2023072918;7
2023072919;8
2023072920;8
2023072921;8
2023072922;8
2023072923;7
2023073000;8
2023073001;7
2023073002;7
2023073003;8
2023073004;8
2023073005;8
2023073006;8
2023073007;8
2023073008;8
2023073009;8
2023073010;8
2023073011;7
2023073012;7
2023073013;8
2023073014;7
2023073015;6
2023073016;7
2023073017;7
2023073018;8
2023073019;7
2023073020;7
2023073021;8
2023073022;7
2023073023;8
2023073100;8
2023073101;8
2023073102;8
2023073103;8
2023073104;7
2023073105;8
2023073106;8
2023073107;8
2023073108;8
2023073109;8
2023073110;8
2023073111;8
2023073112;7
2023073113;8
2023073114;8
2023073115;8
2023073116;8
2023073117;7
2023073118;8
2023073119;8
2023073120;8
2023073121;7
2023073122;8
2023073123;8
2023080100;8
2023080101;7
2023080102;8
2023080103;8
2023080104;8
2023080105;8
2023080106;7
2023080107;8
2023080108;8
2023080109;7
2023080110;8
2023080111;7
2023080112;7
2023080113;8
2023080114;5
2023080115;8
2023080116;8
2023080117;8
2023080118;8
2023080119;7
2023080120;8
2023080121;7
2023080122;8
2023080123;8
2023080200;8
2023080201;8
