MESS_DATUM;TT_TU;RF_TU
2015010100;2.1;100.0
2015010101;2.4;100.0
2015010102;2.7;100.0
2015010103;2.9;100.0
2015010104;2.9;99.0
2015010105;2.2;99.0
2015010106;1.3;99.0
2015010107;1.4;99.0
2015010108;1.4;99.0
2015010109;2.8;95.0
2015010110;3.6;91.0
2015010111;4.6;86.0
2015010112;5.3;83.0
2015010113;5.2;80.0
2015010114;4.5;84.0
2015010115;3.8;86.0
2015010116;2.8;90.0
2015010117;2.2;93.0
2015010118;2.2;93.0
2015010119;2.2;92.0
2015010120;2.1;92.0
2015010121;2.4;92.0
2015010122;1.9;93.0
2015010123;2.2;92.0
2015010200;1.5;92.0
2015010201;2.1;88.0
2015010202;2.8;86.0
2015010203;3.2;81.0
2015010204;3.1;79.0
2015010205;3.2;78.0
2015010206;3.7;74.0
2015010207;3.8;77.0
2015010208;4.4;80.0
2015010209;4.5;87.0
2015010210;5.0;86.0
2015010211;5.3;83.0
2015010212;5.1;84.0
2015010213;5.3;84.0
2015010214;5.2;84.0
2015010215;4.8;84.0
2015010216;4.4;84.0
2015010217;4.4;86.0
2015010218;3.9;86.0
2015010219;4.1;86.0
2015010220;4.0;85.0
2015010221;3.6;84.0
2015010222;3.3;81.0
2015010223;3.1;80.0
2015010300;3.6;77.0
2015010301;4.1;73.0
2015010302;4.1;73.0
2015010303;3.0;79.0
2015010304;2.4;81.0
2015010305;2.1;82.0
2015010306;1.8;84.0
2015010307;2.4;83.0
2015010308;2.9;80.0
2015010309;3.2;78.0
2015010310;3.7;75.0
2015010311;3.9;75.0
2015010312;4.1;72.0
2015010313;4.0;75.0
2015010314;3.7;76.0
2015010315;3.2;79.0
2015010316;2.7;84.0
2015010317;2.3;86.0
2015010318;2.1;88.0
2015010319;2.2;87.0
2015010320;2.1;87.0
2015010321;2.3;87.0
2015010322;2.1;91.0
2015010323;2.4;90.0
2015010400;2.6;89.0
2015010401;2.3;92.0
2015010402;2.9;87.0
2015010403;3.5;83.0
2015010404;3.4;82.0
2015010405;3.3;83.0
2015010406;3.1;89.0
2015010407;3.0;89.0
2015010408;2.9;87.0
2015010409;3.2;87.0
2015010410;3.7;84.0
2015010411;4.1;81.0
2015010412;4.2;81.0
2015010413;4.3;80.0
2015010414;4.1;81.0
2015010415;3.3;83.0
2015010416;2.5;84.0
2015010417;2.5;87.0
2015010418;2.1;89.0
2015010419;2.8;84.0
2015010420;2.7;85.0
2015010421;2.3;88.0
2015010422;2.7;89.0
2015010423;2.8;88.0
2015010500;2.8;89.0
2015010501;2.7;89.0
2015010502;1.8;94.0
2015010503;2.3;92.0
2015010504;2.1;92.0
2015010505;2.4;88.0
2015010506;2.5;86.0
2015010507;2.4;85.0
2015010508;2.2;80.0
2015010509;2.1;78.0
2015010510;1.6;82.0
2015010511;2.4;75.0
2015010512;2.5;78.0
2015010513;2.5;82.0
2015010514;2.5;86.0
2015010515;2.7;86.0
2015010516;2.7;87.0
2015010517;2.7;87.0
2015010518;2.8;85.0
2015010519;2.8;84.0
2015010520;2.2;87.0
2015010521;2.0;87.0
2015010522;1.9;87.0
2015010523;1.7;87.0
2015010600;1.6;86.0
2015010601;1.5;87.0
2015010602;1.4;86.0
2015010603;1.6;85.0
2015010604;1.4;88.0
2015010605;1.4;86.0
2015010606;0.5;86.0
2015010607;-0.8;90.0
2015010608;-1.3;94.0
2015010609;1.2;91.0
2015010610;2.7;81.0
2015010611;4.0;75.0
2015010612;4.2;69.0
2015010613;4.2;71.0
2015010614;3.7;74.0
2015010615;2.3;79.0
2015010616;1.5;85.0
2015010617;0.7;84.0
2015010618;1.4;77.0
2015010619;1.5;75.0
2015010620;1.0;77.0
2015010621;1.2;78.0
2015010622;1.2;76.0
2015010623;1.1;75.0
2015010700;1.0;75.0
2015010701;1.2;72.0
2015010702;1.0;73.0
2015010703;1.7;74.0
2015010704;1.9;76.0
2015010705;1.4;89.0
2015010706;1.2;96.0
2015010707;1.9;93.0
2015010708;1.8;95.0
2015010709;2.2;94.0
2015010710;2.6;94.0
2015010711;3.4;92.0
2015010712;4.2;91.0
2015010713;4.3;90.0
2015010714;4.4;89.0
2015010715;4.1;89.0
2015010716;3.6;91.0
2015010717;2.2;92.0
2015010718;1.4;92.0
2015010719;1.3;90.0
2015010720;0.9;90.0
2015010721;0.6;90.0
2015010722;0.5;88.0
2015010723;0.7;87.0
2015010800;0.6;87.0
