MESS_DATUM;SD_SO
2023061703;0.0
2023061704;3.0
2023061705;16.0
2023061706;15.0
2023061707;0.0
2023061708;0.0
2023061709;8.0
2023061710;28.0
2023061711;37.0
2023061712;45.0
2023061713;56.0
2023061714;48.0
2023061715;50.0
2023061716;46.0
2023061717;57.0
2023061718;60.0
2023061719;59.0
2023061720;0.0
2023061803;0.0
2023061804;22.0
2023061805;60.0
2023061806;60.0
2023061807;60.0
2023061808;60.0
2023061809;60.0
2023061810;57.0
2023061811;54.0
2023061812;60.0
2023061813;60.0
2023061814;51.0
2023061815;59.0
2023061816;60.0
2023061817;60.0
2023061818;60.0
2023061819;40.0
2023061820;0.0
2023061903;0.0
2023061904;0.0
2023061905;0.0
2023061906;0.0
2023061907;0.0
2023061908;0.0
2023061909;21.0
2023061910;24.0
2023061911;17.0
2023061912;47.0
2023061913;60.0
2023061914;49.0
2023061915;30.0
2023061916;48.0
2023061917;14.0
2023061918;0.0
2023061919;0.0
2023061920;0.0
2023062003;0.0
2023062004;0.0
2023062005;0.0
2023062006;0.0
2023062007;0.0
2023062008;0.0
2023062009;0.0
2023062010;24.0
2023062011;60.0
2023062012;58.0
2023062013;55.0
2023062014;59.0
2023062015;60.0
2023062016;48.0
2023062017;35.0
2023062018;60.0
2023062019;55.0
2023062020;0.0
2023062103;0.0
2023062104;8.0
2023062105;60.0
2023062106;60.0
2023062107;60.0
2023062108;38.0
2023062109;50.0
2023062110;58.0
2023062111;60.0
2023062112;56.0
2023062113;52.0
2023062114;57.0
2023062115;44.0
2023062116;42.0
2023062117;50.0
2023062118;47.0
2023062119;34.0
2023062120;0.0
2023062203;0.0
2023062204;0.0
2023062205;2.0
2023062206;19.0
2023062207;28.0
2023062208;15.0
2023062209;48.0
2023062210;59.0
2023062211;56.0
2023062212;48.0
2023062213;44.0
2023062214;38.0
2023062215;35.0
2023062216;30.0
2023062217;3.0
2023062218;0.0
2023062219;0.0
2023062220;0.0
2023062303;0.0
2023062304;0.0
2023062305;0.0
2023062306;18.0
2023062307;2.0
2023062308;0.0
2023062309;0.0
2023062310;6.0
2023062311;0.0
2023062312;0.0
2023062313;0.0
2023062314;0.0
2023062315;0.0
2023062316;0.0
2023062317;0.0
2023062318;0.0
2023062319;0.0
2023062320;0.0
2023062403;0.0
2023062404;15.0
2023062405;60.0
2023062406;25.0
2023062407;5.0
2023062408;42.0
2023062409;45.0
2023062410;41.0
2023062411;56.0
2023062412;60.0
2023062413;60.0
2023062414;60.0
2023062415;60.0
2023062416;60.0
2023062417;60.0
2023062418;59.0
2023062419;60.0
2023062420;7.0
2023062503;0.0
2023062504;19.0
2023062505;60.0
2023062506;60.0
2023062507;60.0
