MESS_DATUM;F;D
2015010100;3.4;240
2015010101;3.1;240
2015010102;4.0;240
2015010103;4.3;230
2015010104;4.0;230
2015010105;3.7;230
2015010106;3.1;240
2015010107;2.8;240
2015010108;3.7;250
2015010109;4.1;220
2015010110;5.1;210
2015010111;5.2;220
2015010112;6.2;230
2015010113;6.8;240
2015010114;6.8;240
2015010115;5.9;230
2015010116;6.4;230
2015010117;6.8;220
2015010118;6.7;210
2015010119;6.5;200
2015010120;6.2;200
2015010121;5.8;210
2015010122;6.3;200
2015010123;4.7;200
2015010200;5.9;220
2015010201;5.9;210
2015010202;5.5;200
2015010203;8.9;210
2015010204;8.7;210
2015010205;7.9;200
2015010206;10.8;210
2015010207;10.6;210
2015010208;9.0;220
2015010209;10.9;230
2015010210;10.8;230
2015010211;9.9;240
2015010212;12.0;240
2015010213;10.4;240
2015010214;10.4;240
2015010215;9.9;240
2015010216;9.5;240
2015010217;9.1;240
2015010218;9.3;240
2015010219;9.0;240
2015010220;8.6;240
2015010221;8.9;240
2015010222;8.3;240
2015010223;8.0;240
2015010300;7.7;240
2015010301;7.5;250
2015010302;8.9;260
2015010303;8.3;260
2015010304;7.3;250
2015010305;7.0;240
2015010306;6.8;240
2015010307;7.3;230
2015010308;8.6;230
2015010309;8.7;240
2015010310;9.0;240
2015010311;10.7;240
2015010312;9.2;240
2015010313;10.0;230
2015010314;9.1;230
2015010315;8.6;230
2015010316;8.3;230
2015010317;7.3;240
2015010318;6.4;240
2015010319;6.7;240
2015010320;6.0;240
2015010321;6.1;250
2015010322;6.0;260
2015010323;6.1;270
2015010400;5.3;280
2015010401;5.9;280
2015010402;6.2;270
2015010403;6.3;270
2015010404;7.1;290
2015010405;7.1;290
2015010406;7.1;290
2015010407;6.7;290
2015010408;6.6;290
2015010409;6.0;290
2015010410;6.3;290
2015010411;6.8;290
2015010412;6.8;300
2015010413;7.0;310
2015010414;6.4;300
2015010415;6.2;300
2015010416;5.5;290
2015010417;5.6;290
2015010418;6.3;280
2015010419;6.2;290
2015010420;5.6;310
2015010421;5.1;310
2015010422;5.1;300
2015010423;5.3;290
2015010500;4.9;280
2015010501;5.2;280
2015010502;4.2;250
2015010503;4.9;260
2015010504;5.1;250
2015010505;5.4;250
2015010506;5.9;260
2015010507;6.6;260
2015010508;7.3;260
2015010509;6.8;270
2015010510;5.2;270
2015010511;5.5;290
2015010512;6.5;300
2015010513;5.3;300
2015010514;4.3;300
2015010515;4.1;300
2015010516;3.7;300
2015010517;3.8;270
2015010518;4.5;280
2015010519;4.5;270
2015010520;4.6;270
2015010521;4.2;260
2015010522;3.0;260
2015010523;3.2;240
2015010600;3.2;240
2015010601;2.5;250
2015010602;2.7;230
2015010603;1.7;210
2015010604;1.6;180
2015010605;2.1;180
2015010606;1.9;180
2015010607;1.9;180
2015010608;1.9;160
2015010609;1.7;170
2015010610;1.6;140
2015010611;2.8;110
2015010612;3.9;120
2015010613;4.0;130
2015010614;3.5;140
2015010615;3.0;140
2015010616;2.3;140
2015010617;2.5;130
2015010618;3.6;160
2015010619;4.8;160
2015010620;4.1;170
2015010621;5.0;170
2015010622;4.9;170
2015010623;5.0;180
2015010700;4.2;170
2015010701;4.2;190
