MESS_DATUM;F;D
2023061600;2.9;250
2023061601;2.5;270
2023061602;2.9;260
2023061603;2.7;260
2023061604;2.3;280
2023061605;2.6;310
2023061606;2.9;320
2023061607;3.7;320
2023061608;3.6;310
2023061609;3.6;310
2023061610;2.8;300
2023061611;3.4;280
2023061612;2.9;290
2023061613;3.5;310
2023061614;3.3;300
2023061615;2.6;300
2023061616;3.6;280
2023061617;3.4;280
2023061618;3.1;260
2023061619;3.8;250
2023061620;4.2;250
2023061621;4.8;250
2023061622;3.8;250
2023061623;2.5;280
2023061700;2.5;240
2023061701;2.8;240
2023061702;3.4;250
2023061703;3.3;250
2023061704;3.1;260
2023061705;2.8;260
2023061706;3.2;270
2023061707;3.1;290
2023061708;2.7;290
2023061709;3.3;270
2023061710;3.3;290
2023061711;3.1;310
2023061712;3.1;310
2023061713;3.4;320
2023061714;4.2;310
2023061715;4.2;320
2023061716;3.9;340
2023061717;3.4;30
2023061718;2.3;30
2023061719;1.9;60
2023061720;2.6;90
2023061721;2.8;100
2023061722;2.6;150
2023061723;2.6;170
2023061800;3.0;200
2023061801;2.4;210
2023061802;2.4;220
2023061803;1.8;210
2023061804;1.4;200
2023061805;2.1;200
2023061806;0.9;260
2023061807;1.2;240
2023061808;1.3;340
2023061809;1.5;330
2023061810;2.3;300
2023061811;2.7;290
2023061812;2.5;310
2023061813;2.8;280
2023061814;2.1;350
2023061815;2.2;330
2023061816;2.4;10
2023061817;2.2;50
2023061818;1.5;40
2023061819;1.1;40
2023061820;2.1;70
2023061821;2.6;90
2023061822;3.1;100
2023061823;2.7;100
2023061900;3.3;110
2023061901;2.7;130
2023061902;2.9;110
2023061903;2.9;130
2023061904;2.9;130
2023061905;2.7;130
2023061906;3.7;160
2023061907;2.6;180
2023061908;1.7;160
2023061909;1.7;140
2023061910;3.1;170
2023061911;3.5;200
2023061912;4.1;210
2023061913;4.2;200
2023061914;3.4;210
2023061915;4.3;240
2023061916;3.6;240
2023061917;2.9;230
2023061918;3.0;240
2023061919;1.6;320
2023061920;0.9;220
2023061921;2.4;270
2023061922;1.8;310
2023061923;2.1;340
2023062000;1.9;340
2023062001;1.7;350
2023062002;1.6;340
2023062003;1.5;290
2023062004;1.4;280
2023062005;1.0;290
2023062006;1.7;320
2023062007;2.8;280
2023062008;3.1;310
2023062009;2.7;350
2023062010;3.5;50
2023062011;3.3;70
2023062012;2.4;110
2023062013;2.4;140
2023062014;2.2;180
2023062015;1.7;170
2023062016;2.5;80
2023062017;2.3;70
2023062018;2.3;70
2023062019;2.2;70
2023062020;1.8;60
2023062021;2.6;70
2023062022;2.4;80
2023062023;2.4;80
2023062100;1.7;100
2023062101;5.4;220
2023062102;2.2;250
2023062103;3.0;200
2023062104;4.6;200
2023062105;3.6;230
2023062106;4.7;240
2023062107;6.3;270
2023062108;5.6;270
2023062109;4.3;280
2023062110;4.8;270
2023062111;5.2;260
2023062112;6.0;260
2023062113;5.6;260
2023062114;4.8;270
2023062115;5.0;270
2023062116;4.5;350
2023062117;3.8;360
2023062118;2.0;350
2023062119;1.6;340
2023062120;1.6;360
2023062121;1.8;350
2023062122;1.5;20
2023062123;0.9;30
2023062200;1.7;250
2023062201;1.4;270
2023062202;1.0;300
2023062203;1.6;30
2023062204;2.4;80
2023062205;1.9;100
2023062206;2.6;100
2023062207;4.1;90
2023062208;4.7;90
2023062209;4.3;100
2023062210;4.8;100
2023062211;5.8;100
2023062212;4.8;90
2023062213;4.9;100
2023062214;5.0;100
2023062215;5.6;100
2023062216;6.4;90
2023062217;6.2;90
2023062218;5.8;90
2023062219;6.1;100
2023062220;5.3;60
2023062221;7.2;350
2023062222;6.3;20
2023062223;3.7;70
2023062300;3.9;120
2023062301;5.9;120
2023062302;3.4;120
2023062303;2.2;110
2023062304;3.4;100
2023062305;4.0;110
2023062306;4.0;170
2023062307;6.6;220
2023062308;6.3;240
2023062309;5.3;230
2023062310;3.7;230
2023062311;2.8;230
2023062312;2.8;250
2023062313;5.3;290
2023062314;6.5;320
2023062315;7.6;340
2023062316;8.0;350
2023062317;6.3;340
2023062318;3.9;350
2023062319;2.7;320
2023062320;2.7;290
2023062321;3.1;280
2023062322;3.1;280
2023062323;2.6;270
2023062400;2.9;260
2023062401;3.3;250
2023062402;3.2;270
2023062403;3.1;280
2023062404;2.3;300
2023062405;2.4;300
2023062406;2.6;290
2023062407;2.5;300
2023062408;3.2;290
2023062409;3.3;290
2023062410;3.0;310
2023062411;3.1;290
2023062412;3.2;300
2023062413;3.4;310
2023062414;3.1;330
2023062415;3.3;340
2023062416;3.0;350
2023062417;2.9;350
2023062418;2.0;350
2023062419;1.5;350
2023062420;1.4;360
2023062421;1.2;40
2023062422;1.0;280
2023062423;0.4;90
2023062500;1.1;150
2023062501;1.5;150
2023062502;2.2;200
2023062503;1.9;220
2023062504;1.6;200
2023062505;1.5;180
2023062506;1.6;190
2023062507;1.8;210
2023062508;1.6;290
2023062509;1.5;240
2023062510;1.4;330
2023062511;1.5;180
2023062512;1.6;130
2023062513;1.5;190
2023062514;1.6;280
2023062515;1.7;70
2023062516;1.9;90
2023062517;1.5;110
2023062518;1.8;60
2023062519;2.4;80
2023062520;2.6;120
2023062521;2.2;120
2023062522;2.7;130
2023062523;2.5;150
2023062600;2.9;160
2023062601;2.6;150
2023062602;3.7;160
2023062603;3.9;160
2023062604;3.8;160
2023062605;4.3;160
2023062606;3.5;170
2023062607;3.8;190
2023062608;3.2;200
2023062609;2.7;210
2023062610;3.0;230
2023062611;4.5;240
2023062612;5.4;230
2023062613;5.5;240
2023062614;6.0;240
2023062615;7.4;320
2023062616;6.5;320
2023062617;5.0;330
2023062618;4.2;330
2023062619;3.3;320
2023062620;1.9;310
2023062621;2.8;310
2023062622;4.0;320
2023062623;2.0;320
2023062700;2.1;300
