MESS_DATUM;V_N
2015011923;8
2015012000;8
2015012001;8
2015012002;8
2015012003;8
2015012004;8
2015012005;8
2015012006;8
2015012007;8
2015012008;8
2015012009;8
2015012010;8
2015012011;8
2015012012;8
2015012013;8
2015012014;8
2015012015;8
2015012016;8
2015012017;8
2015012018;8
2015012019;8
2015012020;8
2015012021;8
2015012022;8
2015012023;8
2015012100;8
2015012101;8
2015012102;8
2015012103;8
2015012104;6
2015012105;6
2015012106;7
2015012107;8
2015012108;7
2015012109;6
2015012110;6
2015012111;6
2015012112;6
2015012113;4
2015012114;4
2015012115;5
2015012116;2
2015012117;0
2015012118;0
2015012119;2
2015012120;3
2015012121;6
2015012122;7
2015012123;8
2015012200;7
2015012201;7
2015012202;8
2015012203;8
2015012204;8
2015012205;8
2015012206;8
2015012207;8
2015012208;8
2015012209;8
2015012210;7
2015012211;8
2015012212;8
2015012213;8
2015012214;8
2015012215;8
2015012216;8
2015012217;8
2015012218;8
2015012219;8
2015012220;8
2015012221;8
2015012222;8
2015012223;8
2015012300;8
2015012301;8
2015012302;8
2015012303;8
2015012304;8
2015012305;8
2015012306;8
2015012307;8
2015012308;8
2015012309;8
2015012310;8
2015012311;8
2015012312;8
2015012313;8
2015012314;8
2015012315;8
2015012316;8
2015012317;8
2015012318;8
2015012319;8
2015012320;8
2015012321;8
2015012322;8
2015012323;8
2015012400;8
2015012401;8
2015012402;8
2015012403;8
2015012404;8
2015012405;8
2015012406;8
2015012407;8
2015012408;8
2015012409;8
2015012410;7
2015012411;6
2015012412;5
2015012413;7
2015012414;7
2015012415;5
2015012416;5
2015012417;7
2015012418;7
2015012419;8
2015012420;8
2015012421;8
2015012422;8
2015012423;8
2015012500;8
2015012501;8
2015012502;7
2015012503;7
2015012504;3
2015012505;5
2015012506;4
2015012507;7
2015012508;7
2015012509;7
2015012510;7
2015012511;7
2015012512;7
2015012513;8
2015012514;8
2015012515;8
2015012516;8
2015012517;8
2015012518;8
2015012519;8
2015012520;8
2015012521;8
2015012522;8
2015012523;8
2015012600;8
2015012601;8
2015012602;8
2015012603;8
2015012604;8
2015012605;8
2015012606;7
2015012607;7
2015012608;7
2015012609;6
2015012610;4
2015012611;7
2015012612;8
2015012613;8
2015012614;8
2015012615;8
2015012616;8
2015012617;8
2015012618;8
2015012619;8
2015012620;8
2015012621;8
2015012622;8
2015012623;7
2015012700;7
2015012701;7
2015012702;7
2015012703;7
2015012704;7
2015012705;7
2015012706;7
2015012707;8
2015012708;7
2015012709;8
2015012710;7
2015012711;7
2015012712;7
2015012713;7
2015012714;7
2015012715;7
2015012716;7
2015012717;7
2015012718;7
2015012719;7
2015012720;7
2015012721;7
2015012722;7
2015012723;7
2015012800;7
2015012801;7
2015012802;7
2015012803;7
2015012804;7
2015012805;7
2015012806;7
2015012807;7
2015012808;7
2015012809;7
2015012810;7
2015012811;8
2015012812;7
2015012813;7
2015012814;8
2015012815;8
2015012816;8
2015012817;8
2015012818;8
2015012819;8
2015012820;8
2015012821;8
2015012822;8
2015012823;8
2015012900;8
2015012901;2
2015012902;2
2015012903;1
2015012904;1
2015012905;3
2015012906;2
2015012907;2
2015012908;1
2015012909;2
2015012910;6
2015012911;6
2015012912;6
2015012913;7
2015012914;4
2015012915;6
2015012916;5
2015012917;2
2015012918;1
2015012919;6
2015012920;7
2015012921;8
2015012922;8
2015012923;8
2015013000;8
