MESS_DATUM;TT_TU;RF_TU
2023061700;13.1;88.0
2023061701;12.2;92.0
2023061702;11.8;94.0
2023061703;11.0;97.0
2023061704;11.8;96.0
2023061705;12.6;95.0
2023061706;15.0;87.0
2023061707;16.0;83.0
2023061708;17.1;79.0
2023061709;19.0;71.0
2023061710;20.9;61.0
2023061711;22.7;52.0
2023061712;23.3;46.0
2023061713;24.1;41.0
2023061714;23.6;41.0
2023061715;25.2;38.0
2023061716;24.3;39.0
2023061717;23.5;48.0
2023061718;22.6;51.0
2023061719;20.5;60.0
2023061720;17.1;74.0
2023061721;15.9;78.0
2023061722;15.9;79.0
2023061723;15.2;83.0
2023061800;15.7;81.0
2023061801;15.0;84.0
2023061802;13.9;86.0
2023061803;13.2;89.0
2023061804;12.8;89.0
2023061805;15.1;80.0
2023061806;17.0;73.0
2023061807;19.5;63.0
2023061808;21.2;56.0
2023061809;23.7;47.0
2023061810;24.3;42.0
2023061811;25.5;37.0
2023061812;25.5;34.0
2023061813;26.1;32.0
2023061814;26.3;32.0
2023061815;27.1;29.0
2023061816;27.6;30.0
2023061817;27.2;30.0
2023061818;26.4;29.0
2023061819;23.7;44.0
2023061820;22.4;45.0
2023061821;19.2;59.0
2023061822;19.1;59.0
2023061823;18.8;61.0
2023061900;17.4;66.0
2023061901;19.0;61.0
2023061902;17.4;70.0
2023061903;16.9;71.0
2023061904;18.7;63.0
2023061905;19.3;62.0
2023061906;19.7;63.0
2023061907;19.0;69.0
2023061908;20.1;70.0
2023061909;25.1;51.0
2023061910;26.1;41.0
2023061911;27.6;39.0
2023061912;28.1;37.0
2023061913;29.0;35.0
2023061914;29.3;35.0
2023061915;29.3;37.0
2023061916;29.5;38.0
2023061917;28.4;41.0
2023061918;21.5;81.0
2023061919;21.6;87.0
2023061920;21.3;90.0
2023061921;20.5;85.0
2023061922;20.3;81.0
2023061923;19.5;82.0
2023062000;20.5;77.0
2023062001;19.6;82.0
2023062002;18.7;86.0
2023062003;18.5;86.0
2023062004;19.0;82.0
2023062005;19.6;80.0
2023062006;19.5;85.0
2023062007;19.2;86.0
2023062008;18.4;94.0
2023062009;18.3;97.0
2023062010;20.8;88.0
2023062011;25.0;69.0
2023062012;26.0;62.0
2023062013;27.1;56.0
2023062014;27.8;52.0
2023062015;29.4;48.0
2023062016;28.6;53.0
2023062017;28.9;51.0
2023062018;27.9;56.0
2023062019;26.4;61.0
2023062020;24.7;70.0
2023062021;23.0;77.0
2023062022;22.6;80.0
2023062023;22.1;81.0
2023062100;21.6;84.0
2023062101;20.2;87.0
2023062102;19.5;92.0
2023062103;19.5;93.0
2023062104;20.2;87.0
2023062105;20.4;86.0
2023062106;22.5;79.0
2023062107;23.3;75.0
2023062108;24.2;71.0
2023062109;24.9;65.0
2023062110;26.2;58.0
2023062111;26.9;45.0
2023062112;28.1;46.0
2023062113;28.9;43.0
2023062114;28.3;41.0
2023062115;28.3;44.0
2023062116;27.6;50.0
2023062117;26.8;53.0
2023062118;26.8;52.0
2023062119;25.0;59.0
2023062120;22.4;71.0
2023062121;22.4;69.0
2023062122;21.8;71.0
2023062123;20.5;76.0
2023062200;20.1;79.0
2023062201;19.7;82.0
2023062202;19.4;85.0
2023062203;18.6;87.0
2023062204;18.4;87.0
2023062205;19.6;85.0
2023062206;21.6;80.0
2023062207;23.6;67.0
2023062208;25.2;60.0
2023062209;27.1;53.0
2023062210;28.1;46.0
2023062211;28.1;48.0
2023062212;29.0;45.0
2023062213;31.2;40.0
2023062214;30.8;42.0
2023062215;31.6;41.0
2023062216;30.3;44.0
2023062217;29.5;47.0
2023062218;28.6;50.0
2023062219;27.9;54.0
2023062220;23.2;65.0
2023062221;18.6;96.0
2023062222;18.3;96.0
2023062223;18.2;96.0
2023062300;18.3;97.0
2023062301;18.1;96.0
2023062302;18.2;96.0
2023062303;18.0;96.0
2023062304;17.9;97.0
2023062305;18.6;96.0
2023062306;21.2;87.0
2023062307;20.2;79.0
2023062308;20.0;73.0
2023062309;19.8;71.0
2023062310;21.7;66.0
2023062311;20.5;71.0
2023062312;19.8;75.0
2023062313;15.4;96.0
2023062314;15.0;96.0
2023062315;14.1;95.0
2023062316;15.1;96.0
2023062317;15.2;96.0
2023062318;15.4;97.0
2023062319;15.9;96.0
2023062320;16.1;94.0
2023062321;16.4;96.0
2023062322;16.2;97.0
2023062323;15.6;97.0
2023062400;14.4;98.0
2023062401;15.0;98.0
2023062402;14.1;98.0
2023062403;14.1;95.0
2023062404;13.7;93.0
2023062405;14.3;92.0
2023062406;14.8;90.0
2023062407;15.6;88.0
2023062408;17.6;79.0
2023062409;18.7;69.0
2023062410;20.6;62.0
2023062411;21.8;59.0
2023062412;22.9;49.0
2023062413;23.9;48.0
2023062414;24.6;44.0
2023062415;24.5;44.0
2023062416;24.5;44.0
2023062417;24.8;47.0
2023062418;24.0;50.0
2023062419;22.6;59.0
2023062420;20.0;70.0
2023062421;18.1;75.0
2023062422;18.4;73.0
2023062423;17.8;78.0
2023062500;17.6;75.0
2023062501;17.1;77.0
2023062502;16.6;82.0
2023062503;15.4;90.0
2023062504;15.9;88.0
2023062505;17.3;82.0
2023062506;19.9;73.0
2023062507;22.5;57.0
2023062508;24.5;53.0
2023062509;24.9;48.0
2023062510;25.6;43.0
2023062511;25.0;45.0
2023062512;27.0;44.0
2023062513;27.1;42.0
2023062514;27.6;40.0
2023062515;26.9;42.0
2023062516;28.0;39.0
2023062517;27.0;42.0
2023062518;26.4;47.0
2023062519;23.9;58.0
2023062520;21.4;67.0
2023062521;20.5;69.0
2023062522;19.7;75.0
2023062523;19.9;73.0
2023062600;19.4;75.0
2023062601;18.2;80.0
2023062602;18.5;78.0
2023062603;18.1;79.0
2023062604;17.9;81.0
2023062605;19.6;74.0
2023062606;21.8;63.0
2023062607;23.4;58.0
2023062608;25.6;56.0
2023062609;27.4;47.0
2023062610;28.9;40.0
2023062611;30.4;36.0
2023062612;30.5;34.0
2023062613;31.0;32.0
2023062614;29.7;34.0
2023062615;23.5;77.0
2023062616;22.5;70.0
2023062617;22.5;71.0
2023062618;22.7;62.0
2023062619;21.3;65.0
2023062620;20.3;68.0
2023062621;19.9;63.0
2023062622;19.2;66.0
2023062623;17.7;73.0
2023062700;17.6;71.0
2023062701;16.1;77.0
2023062702;15.5;76.0
2023062703;13.6;82.0
2023062704;14.5;75.0
2023062705;15.1;76.0
2023062706;16.2;69.0
2023062707;17.3;59.0
2023062708;18.6;50.0
2023062709;18.7;52.0
2023062710;20.0;47.0
2023062711;17.4;72.0
2023062712;21.6;44.0
2023062713;19.2;56.0
2023062714;22.4;40.0
2023062715;19.7;51.0
2023062716;20.4;48.0
2023062717;19.0;54.0
2023062718;15.3;76.0
2023062719;15.6;70.0
2023062720;13.7;84.0
2023062721;13.3;90.0
2023062722;12.9;86.0
2023062723;12.5;85.0
2023062800;13.0;81.0
2023062801;12.4;84.0
2023062802;12.1;87.0
2023062803;10.7;91.0
2023062804;11.0;90.0
2023062805;12.9;85.0
2023062806;15.0;79.0
2023062807;16.7;74.0
2023062808;17.0;67.0
2023062809;18.4;56.0
2023062810;19.7;48.0
2023062811;20.9;46.0
2023062812;20.5;46.0
2023062813;22.5;39.0
2023062814;22.6;38.0
2023062815;22.8;37.0
2023062816;23.2;40.0
2023062817;22.5;42.0
2023062818;21.9;45.0
2023062819;20.6;50.0
2023062820;18.8;55.0
2023062821;18.1;59.0
2023062822;16.1;66.0
2023062823;15.4;71.0
2023062900;15.2;70.0
2023062901;14.4;75.0
2023062902;13.5;81.0
2023062903;13.5;84.0
2023062904;12.9;85.0
2023062905;15.3;79.0
2023062906;18.0;64.0
2023062907;20.3;56.0
2023062908;22.3;48.0
2023062909;24.0;43.0
2023062910;24.8;39.0
2023062911;25.8;38.0
2023062912;26.3;37.0
2023062913;26.6;35.0
2023062914;26.4;37.0
2023062915;26.4;39.0
2023062916;26.0;39.0
2023062917;26.0;40.0
2023062918;24.6;51.0
2023062919;23.3;59.0
2023062920;22.1;66.0
2023062921;21.4;69.0
2023062922;21.0;73.0
2023062923;20.7;74.0
2023063000;19.1;88.0
2023063001;19.0;88.0
2023063002;18.4;93.0
2023063003;18.5;94.0
2023063004;18.2;93.0
2023063005;18.7;92.0
2023063006;19.4;90.0
2023063007;20.0;83.0
2023063008;21.0;75.0
2023063009;21.6;73.0
2023063010;21.0;76.0
2023063011;20.6;74.0
2023063012;18.6;84.0
2023063013;18.7;81.0
2023063014;17.9;89.0
2023063015;17.7;87.0
2023063016;18.6;79.0
2023063017;18.3;79.0
2023063018;18.0;80.0
2023063019;17.7;82.0
2023063020;16.9;89.0
2023063021;16.7;87.0
2023063022;16.3;90.0
2023063023;16.0;91.0
2023070100;15.9;89.0
2023070101;16.0;89.0
2023070102;15.8;88.0
2023070103;14.4;92.0
2023070104;13.8;93.0
2023070105;15.0;88.0
2023070106;16.6;75.0
2023070107;18.8;61.0
2023070108;20.5;55.0
2023070109;22.9;48.0
2023070110;23.5;46.0
2023070111;24.1;39.0
2023070112;24.3;38.0
2023070113;24.1;40.0
