MESS_DATUM;TT_TU;RF_TU
2015010100;-0.9;99.0
2015010101;0.3;100.0
2015010102;-0.2;100.0
2015010103;-0.4;100.0
2015010104;-0.4;100.0
2015010105;-0.2;100.0
2015010106;-0.6;100.0
2015010107;-0.4;100.0
2015010108;-0.4;100.0
2015010109;-0.2;100.0
2015010110;1.0;96.0
2015010111;2.1;92.0
2015010112;3.1;90.0
2015010113;4.1;82.0
2015010114;5.0;73.0
2015010115;3.1;85.0
2015010116;1.8;88.0
2015010117;1.3;89.0
2015010118;1.1;89.0
2015010119;1.0;88.0
2015010120;1.1;85.0
2015010121;0.8;86.0
2015010122;1.0;82.0
2015010123;1.0;81.0
2015010200;1.4;77.0
2015010201;1.5;78.0
2015010202;2.3;72.0
2015010203;3.5;65.0
2015010204;3.4;73.0
2015010205;2.4;92.0
2015010206;2.6;96.0
2015010207;3.1;98.0
2015010208;3.6;99.0
2015010209;5.8;94.0
2015010210;6.7;89.0
2015010211;7.4;89.0
2015010212;8.1;92.0
2015010213;8.6;82.0
2015010214;8.0;73.0
2015010215;6.9;66.0
2015010216;6.8;67.0
2015010217;6.3;69.0
2015010218;5.9;69.0
2015010219;4.5;73.0
2015010220;3.5;78.0
2015010221;3.4;78.0
2015010222;3.0;79.0
2015010223;2.6;80.0
2015010300;2.5;81.0
2015010301;2.0;82.0
2015010302;2.7;79.0
2015010303;2.2;82.0
2015010304;3.5;76.0
2015010305;2.9;79.0
2015010306;2.8;81.0
2015010307;3.1;79.0
2015010308;2.7;81.0
2015010309;3.2;80.0
2015010310;3.1;89.0
2015010311;3.3;90.0
2015010312;3.0;91.0
2015010313;2.2;96.0
2015010314;2.0;96.0
2015010315;2.0;96.0
2015010316;1.8;97.0
2015010317;1.1;97.0
2015010318;0.4;99.0
2015010319;0.2;99.0
2015010320;0.2;100.0
2015010321;0.5;98.0
2015010322;0.8;99.0
2015010323;1.4;99.0
2015010400;2.2;97.0
2015010401;2.9;97.0
2015010402;2.8;97.0
2015010403;1.9;97.0
2015010404;1.4;99.0
2015010405;0.0;99.0
2015010406;0.2;99.0
2015010407;0.1;99.0
2015010408;-0.5;100.0
2015010409;0.5;98.0
2015010410;1.8;92.0
2015010411;3.3;87.0
2015010412;5.3;79.0
2015010413;5.8;76.0
2015010414;5.7;76.0
2015010415;4.8;83.0
2015010416;4.6;83.0
2015010417;2.8;90.0
2015010418;2.8;92.0
2015010419;2.9;92.0
2015010420;2.8;92.0
2015010421;2.8;92.0
2015010422;2.7;92.0
2015010423;1.9;90.0
2015010500;1.0;90.0
2015010501;1.6;90.0
2015010502;0.2;93.0
2015010503;0.3;94.0
2015010504;0.4;90.0
2015010505;-0.2;91.0
2015010506;-0.3;90.0
2015010507;-0.5;89.0
2015010508;-0.9;90.0
2015010509;0.1;88.0
2015010510;1.8;80.0
2015010511;3.2;74.0
2015010512;4.3;65.0
2015010513;5.2;63.0
2015010514;5.0;62.0
2015010515;3.9;67.0
2015010516;2.1;76.0
2015010517;-0.6;83.0
2015010518;-1.0;93.0
2015010519;0.4;89.0
2015010520;-0.6;94.0
2015010521;-0.4;92.0
2015010522;0.0;90.0
2015010523;-0.3;89.0
2015010600;-0.7;90.0
2015010601;-0.7;88.0
2015010602;-0.6;87.0
2015010603;-0.8;87.0
2015010604;-1.4;90.0
2015010605;-1.0;90.0
2015010606;-1.4;92.0
2015010607;-1.3;91.0
2015010608;-0.9;86.0
2015010609;0.0;81.0
2015010610;0.9;78.0
2015010611;1.8;72.0
2015010612;3.2;67.0
2015010613;3.9;65.0
2015010614;3.4;69.0
2015010615;2.6;70.0
2015010616;2.1;72.0
2015010617;0.5;80.0
2015010618;1.4;79.0
2015010619;1.7;77.0
2015010620;2.1;76.0
2015010621;2.4;76.0
2015010622;2.4;81.0
2015010623;1.7;96.0
2015010700;1.9;98.0
2015010701;3.4;97.0
2015010702;4.0;96.0
2015010703;4.3;95.0
2015010704;4.2;97.0
2015010705;4.2;97.0
2015010706;4.2;97.0
2015010707;3.9;97.0
2015010708;4.0;94.0
2015010709;4.1;92.0
2015010710;4.5;89.0
2015010711;5.6;80.0
2015010712;6.9;71.0
2015010713;6.5;69.0
2015010714;6.0;71.0
2015010715;5.6;73.0
2015010716;3.9;78.0
2015010717;3.0;80.0
2015010718;2.4;83.0
2015010719;1.2;88.0
2015010720;0.4;92.0
2015010721;0.1;92.0
2015010722;0.9;87.0
2015010723;1.3;85.0
2015010800;1.8;83.0
2015010801;2.3;83.0
2015010802;2.8;85.0
2015010803;3.1;92.0
2015010804;3.6;94.0
2015010805;3.9;95.0
2015010806;4.0;96.0
2015010807;4.3;97.0
2015010808;4.6;97.0
2015010809;5.4;95.0
2015010810;6.1;95.0
2015010811;6.8;91.0
2015010812;6.7;97.0
2015010813;7.2;96.0
2015010814;8.1;91.0
2015010815;8.8;88.0
2015010816;8.4;92.0
2015010817;8.6;92.0
2015010818;6.5;92.0
2015010819;6.1;92.0
2015010820;6.0;90.0
2015010821;6.1;88.0
2015010822;6.2;88.0
2015010823;6.5;88.0
2015010900;6.3;85.0
2015010901;3.4;92.0
2015010902;5.2;86.0
2015010903;5.7;84.0
2015010904;6.2;82.0
2015010905;6.7;79.0
2015010906;7.3;75.0
2015010907;8.3;66.0
2015010908;8.1;72.0
2015010909;8.4;76.0
2015010910;9.2;75.0
2015010911;10.2;77.0
2015010912;10.7;78.0
2015010913;11.2;78.0
2015010914;11.3;77.0
