MESS_DATUM;V_N
2015011922;8
2015011923;8
2015012000;7
2015012001;8
2015012002;8
2015012003;8
2015012004;8
2015012005;8
2015012006;8
2015012007;8
2015012008;8
2015012009;8
2015012010;8
2015012011;7
2015012012;7
2015012013;7
2015012014;7
2015012015;7
2015012016;8
2015012017;8
2015012018;8
2015012019;7
2015012020;7
2015012021;7
2015012022;7
2015012023;7
2015012100;5
2015012101;4
2015012102;5
2015012103;5
2015012104;2
2015012105;2
2015012106;2
2015012107;5
2015012108;6
2015012109;7
2015012110;7
2015012111;7
2015012112;7
2015012113;7
2015012114;7
2015012115;7
2015012116;7
2015012117;7
2015012118;7
2015012119;7
2015012120;8
2015012121;8
2015012122;7
2015012123;6
2015012200;7
2015012201;7
2015012202;8
2015012203;6
2015012204;7
2015012205;7
2015012206;8
2015012207;7
2015012208;8
2015012209;7
2015012210;7
2015012211;8
2015012212;8
2015012213;8
2015012214;8
2015012215;8
2015012216;8
2015012217;8
2015012218;8
2015012219;8
2015012220;8
2015012221;8
2015012222;8
2015012223;8
2015012300;8
2015012301;8
2015012302;8
2015012303;8
2015012304;8
2015012305;8
2015012306;7
2015012307;7
2015012308;6
2015012309;3
2015012310;7
2015012311;7
2015012312;7
2015012313;7
2015012314;7
2015012315;7
2015012316;8
2015012317;8
2015012318;8
2015012319;8
2015012320;8
2015012321;8
2015012322;8
2015012323;8
2015012400;3
2015012401;0
2015012402;0
2015012403;2
2015012404;3
2015012405;6
2015012406;7
2015012407;7
2015012408;7
2015012409;8
2015012410;8
2015012411;8
2015012412;8
2015012413;8
2015012414;8
2015012415;8
2015012416;8
2015012417;7
2015012418;6
2015012419;5
2015012420;1
2015012421;0
2015012422;3
2015012423;3
2015012500;6
2015012501;3
2015012502;1
2015012503;5
2015012504;7
2015012505;7
2015012506;7
2015012507;8
2015012508;7
2015012509;8
2015012510;8
2015012511;8
2015012512;8
2015012513;8
2015012514;8
2015012515;8
2015012516;8
2015012517;8
2015012518;8
2015012519;8
2015012520;8
2015012521;8
2015012522;8
2015012523;8
2015012600;8
2015012601;8
2015012602;8
2015012603;8
2015012604;8
2015012605;8
2015012606;8
2015012607;8
2015012608;8
2015012609;8
2015012610;8
2015012611;8
2015012612;8
2015012613;8
2015012614;8
2015012615;8
2015012616;8
2015012617;8
2015012618;8
2015012619;7
2015012620;7
2015012621;7
2015012622;7
2015012623;5
2015012700;7
2015012701;7
2015012702;7
2015012703;7
2015012704;8
2015012705;7
2015012706;7
2015012707;7
2015012708;7
2015012709;7
2015012710;7
2015012711;7
2015012712;7
2015012713;8
2015012714;7
2015012715;8
2015012716;7
2015012717;8
2015012718;8
2015012719;8
2015012720;8
2015012721;8
2015012722;8
2015012723;7
2015012800;7
2015012801;7
2015012802;7
2015012803;8
2015012804;8
2015012805;8
2015012806;7
2015012807;7
2015012808;7
2015012809;7
2015012810;5
2015012811;7
2015012812;7
2015012813;8
2015012814;8
2015012815;8
2015012816;8
2015012817;7
2015012818;8
2015012819;8
2015012820;7
2015012821;6
2015012822;3
2015012823;7
2015012900;4
2015012901;1
2015012902;0
2015012903;0
2015012904;1
2015012905;4
2015012906;7
2015012907;6
2015012908;5
2015012909;7
2015012910;7
2015012911;6
2015012912;5
2015012913;5
2015012914;6
2015012915;7
2015012916;7
2015012917;7
2015012918;7
2015012919;7
2015012920;7
2015012921;7
2015012922;8
2015012923;8
2015013000;8
2015013001;8
2015013002;8
2015013003;8
2015013004;8
2015013005;8
2015013006;8
2015013007;7
2015013008;8
2015013009;6
2015013010;7
2015013011;7
2015013012;6
2015013013;7
2015013014;6
2015013015;5
2015013016;6
2015013017;7
2015013018;7
2015013019;7
2015013020;7
2015013021;8
2015013022;7
2015013023;8
2015013100;8
2015013101;7
2015013102;8
2015013103;8
2015013104;8
2015013105;8
2015013106;6
2015013107;6
2015013108;6
2015013109;7
2015013110;6
2015013111;5
2015013112;3
2015013113;3
2015013114;4
2015013115;5
2015013116;5
2015013117;4
2015013118;4
2015013119;5
2015013120;2
2015013121;2
2015013122;4
2015013123;7
2015020100;7
2015020101;6
2015020102;7
2015020103;7
2015020104;6
2015020105;7
2015020106;7
2015020107;5
2015020108;7
2015020109;7
2015020110;8
2015020111;8
2015020112;8
2015020113;7
2015020114;8
2015020115;8
2015020116;8
2015020117;8
2015020118;8
2015020119;8
2015020120;8
2015020121;8
2015020122;7
2015020123;7
2015020200;7
2015020201;7
2015020202;7
2015020203;7
2015020204;7
2015020205;7
2015020206;8
2015020207;8
2015020208;8
2015020209;7
2015020210;7
2015020211;7
2015020212;7
2015020213;8
2015020214;8
2015020215;8
2015020216;8
2015020217;8
2015020218;8
2015020219;8
2015020220;8
2015020221;8
2015020222;8
2015020223;8
2015020300;8
2015020301;8
2015020302;8
2015020303;8
2015020304;8
2015020305;8
2015020306;8
2015020307;7
2015020308;7
2015020309;7
2015020310;8
2015020311;8
2015020312;8
2015020313;7
2015020314;7
2015020315;7
2015020316;7
2015020317;7
2015020318;3
2015020319;3
2015020320;7
2015020321;7
2015020322;7
2015020323;1
2015020400;7
2015020401;7
2015020402;7
2015020403;7
2015020404;1
2015020405;1
2015020406;0
2015020407;1
2015020408;6
2015020409;7
2015020410;7
2015020411;7
2015020412;5
2015020413;5
2015020414;6
2015020415;7
2015020416;7
2015020417;4
2015020418;1
2015020419;1
2015020420;1
2015020421;1
2015020422;2
2015020423;1
2015020500;3
2015020501;2
2015020502;1
2015020503;4
2015020504;6
2015020505;7
2015020506;1
2015020507;7
2015020508;7
2015020509;7
2015020510;7
2015020511;7
2015020512;7
2015020513;3
2015020514;3
2015020515;6
2015020516;6
2015020517;6
2015020518;7
2015020519;7
2015020520;7
2015020521;3
2015020522;7
2015020523;7
2015020600;7
2015020601;7
2015020602;7
2015020603;4
2015020604;4
2015020605;4
2015020606;4
2015020607;4
2015020608;3
2015020609;1
2015020610;3
2015020611;3
2015020612;3
2015020613;1
2015020614;1
2015020615;0
2015020616;0
2015020617;1
2015020618;0
2015020619;0
2015020620;1
2015020621;0
2015020622;0
2015020623;0
2015020700;0
2015020701;0
2015020702;0
2015020703;0
2015020704;1
2015020705;1
2015020706;2
2015020707;2
2015020708;3
2015020709;2
2015020710;3
2015020711;4
2015020712;5
2015020713;6
2015020714;4
2015020715;5
2015020716;7
2015020717;8
2015020718;8
2015020719;8
2015020720;8
2015020721;8
2015020722;8
2015020723;8
2015020800;8
2015020801;8
2015020802;8
2015020803;7
2015020804;7
2015020805;7
2015020806;7
2015020807;8
2015020808;8
2015020809;7
2015020810;7
2015020811;7
2015020812;6
2015020813;7
2015020814;5
2015020815;5
2015020816;6
2015020817;6
2015020818;3
2015020819;5
2015020820;7
2015020821;6
2015020822;8
2015020823;8
2015020900;8
2015020901;8
2015020902;8
2015020903;8
2015020904;8
2015020905;8
2015020906;8
2015020907;8
2015020908;8
2015020909;8
2015020910;8
2015020911;8
2015020912;8
2015020913;8
2015020914;8
2015020915;8
2015020916;8
2015020917;8
2015020918;8
2015020919;8
2015020920;8
2015020921;8
2015020922;8
2015020923;8
2015021000;8
2015021001;8
2015021002;8
2015021003;8
2015021004;8
2015021005;8
2015021006;8
2015021007;8
2015021008;8
2015021009;8
2015021010;8
2015021011;7
2015021012;8
2015021013;8
2015021014;8
2015021015;8
2015021016;8
2015021017;8
2015021018;8
2015021019;8
2015021020;8
2015021021;8
2015021022;8
2015021023;8
2015021100;8
2015021101;8
2015021102;8
2015021103;8
2015021104;8
2015021105;8
2015021106;8
2015021107;8
2015021108;8
2015021109;8
2015021110;8
2015021111;8
2015021112;7
2015021113;7
2015021114;3
2015021115;1
2015021116;1
2015021117;1
2015021118;0
2015021119;0
2015021120;2
2015021121;7
2015021122;8
2015021123;8
2015021200;8
2015021201;8
2015021202;8
2015021203;8
2015021204;8
2015021205;8
2015021206;8
2015021207;8
2015021208;7
2015021209;7
2015021210;7
2015021211;7
2015021212;4
2015021213;3
2015021214;2
2015021215;0
2015021216;0
2015021217;0
2015021218;0
2015021219;0
2015021220;0
2015021221;0
2015021222;1
2015021223;1
2015021300;1
2015021301;1
2015021302;2
2015021303;1
2015021304;2
2015021305;1
2015021306;2
2015021307;3
2015021308;3
2015021309;1
2015021310;1
2015021311;1
2015021312;1
2015021313;3
2015021314;4
2015021315;3
2015021316;3
2015021317;3
2015021318;3
2015021319;2
2015021320;0
2015021321;2
2015021322;2
2015021323;2
2015021400;3
2015021401;5
2015021402;4
2015021403;4
2015021404;7
2015021405;8
2015021406;8
2015021407;8
2015021408;6
2015021409;7
2015021410;6
2015021411;5
2015021412;5
2015021413;5
2015021414;4
2015021415;3
2015021416;3
2015021417;3
2015021418;3
2015021419;5
2015021420;3
2015021421;0
2015021422;1
2015021423;6
2015021500;4
2015021501;0
2015021502;1
2015021503;0
2015021504;2
2015021505;1
2015021506;1
2015021507;1
2015021508;1
2015021509;1
2015021510;1
2015021511;1
2015021512;1
2015021513;1
2015021514;1
2015021515;1
2015021516;2
2015021517;3
2015021518;4
2015021519;3
2015021520;1
2015021521;1
2015021522;0
2015021523;0
2015021600;0
2015021601;0
2015021602;0
2015021603;0
2015021604;0
2015021605;0
2015021606;4
2015021607;7
2015021608;7
2015021609;7
2015021610;7
2015021611;6
2015021612;3
2015021613;1
2015021614;0
2015021615;0
2015021616;1
2015021617;2
2015021618;2
2015021619;6
2015021620;8
2015021621;7
2015021622;7
2015021623;8
2015021700;8
2015021701;8
2015021702;8
2015021703;8
2015021704;8
2015021705;8
2015021706;8
2015021707;8
2015021708;8
2015021709;8
2015021710;8
2015021711;8
2015021712;8
2015021713;8
2015021714;8
2015021715;8
2015021716;8
2015021717;8
2015021718;8
2015021719;8
2015021720;8
2015021721;8
2015021722;8
2015021723;8
2015021800;8
2015021801;8
2015021802;7
2015021803;4
2015021804;8
2015021805;8
2015021806;8
2015021807;8
2015021808;8
2015021809;7
2015021810;7
2015021811;7
2015021812;7
2015021813;7
2015021814;8
2015021815;8
2015021816;7
2015021817;7
2015021818;7
2015021819;8
2015021820;7
2015021821;7
2015021822;4
2015021823;2
2015021900;0
2015021901;0
2015021902;7
2015021903;7
2015021904;7
2015021905;7
2015021906;7
2015021907;8
2015021908;8
2015021909;8
2015021910;8
2015021911;7
2015021912;6
2015021913;5
2015021914;2
2015021915;2
2015021916;1
2015021917;1
2015021918;0
2015021919;0
2015021920;0
2015021921;2
2015021922;5
2015021923;7
2015022000;7
2015022001;8
2015022002;6
2015022003;6
2015022004;7
2015022005;7
2015022006;8
2015022007;8
2015022008;8
2015022009;7
2015022010;7
2015022011;7
2015022012;8
2015022013;8
2015022014;8
2015022015;8
2015022016;8
2015022017;8
2015022018;8
2015022019;7
2015022020;7
2015022021;7
2015022022;7
2015022023;8
2015022100;7
2015022101;7
2015022102;8
2015022103;7
2015022104;7
2015022105;7
2015022106;7
2015022107;7
2015022108;8
2015022109;8
2015022110;7
2015022111;7
2015022112;7
2015022113;6
2015022114;5
2015022115;6
2015022116;7
2015022117;7
2015022118;8
2015022119;7
2015022120;8
2015022121;8
2015022122;8
2015022123;8
2015022200;8
2015022201;8
2015022202;8
2015022203;8
2015022204;8
2015022205;8
2015022206;8
2015022207;8
2015022208;7
2015022209;7
2015022210;6
2015022211;4
2015022212;3
2015022213;6
2015022214;5
2015022215;2
2015022216;1
2015022217;2
2015022218;2
2015022219;7
2015022220;8
2015022221;6
2015022222;7
2015022223;8
2015022300;8
2015022301;8
2015022302;8
2015022303;8
2015022304;8
2015022305;8
2015022306;8
2015022307;8
2015022308;8
2015022309;8
2015022310;8
2015022311;8
2015022312;7
2015022313;7
2015022314;6
2015022315;5
2015022316;5
2015022317;6
2015022318;7
2015022319;7
2015022320;7
2015022321;8
2015022322;8
2015022323;4
2015022400;3
2015022401;4
2015022402;2
2015022403;1
2015022404;3
2015022405;1
2015022406;1
2015022407;3
2015022408;4
2015022409;7
2015022410;5
2015022411;7
2015022412;7
2015022413;7
2015022414;7
2015022415;7
2015022416;7
2015022417;7
