MESS_DATUM;SD_SO
2023070514;37.0
2023070515;33.0
2023070516;21.0
2023070517;26.0
2023070518;40.0
2023070519;2.0
2023070520;4.0
2023070603;0.0
2023070604;0.0
2023070605;0.0
2023070606;31.0
2023070607;52.0
2023070608;58.0
2023070609;50.0
2023070610;27.0
2023070611;32.0
2023070612;39.0
2023070613;1.0
2023070614;5.0
2023070615;27.0
2023070616;4.0
2023070617;15.0
2023070618;38.0
2023070619;59.0
2023070620;12.0
2023070703;0.0
2023070704;25.0
2023070705;60.0
2023070706;60.0
2023070707;60.0
2023070708;60.0
2023070709;60.0
2023070710;60.0
2023070711;60.0
2023070712;60.0
2023070713;46.0
2023070714;43.0
2023070715;27.0
2023070716;49.0
2023070717;54.0
2023070718;60.0
2023070719;60.0
2023070720;13.0
2023070803;0.0
2023070804;21.0
2023070805;60.0
2023070806;60.0
2023070807;60.0
2023070808;60.0
2023070809;60.0
2023070810;60.0
2023070811;56.0
2023070812;60.0
2023070813;60.0
2023070814;60.0
2023070815;60.0
2023070816;60.0
2023070817;60.0
2023070818;60.0
2023070819;58.0
2023070820;0.0
2023070903;0.0
2023070904;5.0
2023070905;60.0
2023070906;60.0
2023070907;60.0
2023070908;60.0
2023070909;60.0
2023070910;59.0
2023070911;38.0
2023070912;20.0
2023070913;9.0
2023070914;39.0
2023070915;60.0
2023070916;53.0
2023070917;39.0
2023070918;0.0
2023070919;0.0
2023070920;0.0
2023071003;0.0
2023071004;0.0
2023071005;0.0
2023071006;43.0
2023071007;60.0
2023071008;37.0
2023071009;0.0
2023071010;0.0
2023071011;0.0
2023071012;0.0
2023071013;4.0
2023071014;22.0
2023071015;41.0
2023071016;11.0
2023071017;39.0
2023071018;49.0
2023071019;60.0
2023071020;14.0
2023071103;0.0
2023071104;3.0
2023071105;60.0
2023071106;60.0
2023071107;60.0
2023071108;60.0
2023071109;60.0
2023071110;60.0
2023071111;60.0
2023071112;60.0
2023071113;59.0
2023071114;60.0
2023071115;60.0
2023071116;57.0
2023071117;60.0
2023071118;60.0
2023071119;60.0
2023071120;9.0
2023071203;0.0
2023071204;0.0
2023071205;0.0
2023071206;0.0
2023071207;0.0
2023071208;29.0
2023071209;60.0
2023071210;44.0
2023071211;46.0
2023071212;13.0
2023071213;53.0
2023071214;54.0
2023071215;49.0
2023071216;45.0
2023071217;40.0
2023071218;52.0
2023071219;28.0
2023071220;0.0
2023071303;0.0
2023071304;3.0
2023071305;32.0
2023071306;13.0
2023071307;38.0
2023071308;38.0
2023071309;48.0
2023071310;37.0
2023071311;11.0
2023071312;14.0
2023071313;43.0
2023071314;30.0
2023071315;2.0
2023071316;13.0
2023071317;12.0
2023071318;0.0
2023071319;0.0
2023071320;0.0
2023071403;0.0
2023071404;0.0
2023071405;38.0
2023071406;60.0
2023071407;60.0
2023071408;60.0
2023071409;53.0
2023071410;42.0
2023071411;54.0
2023071412;31.0
2023071413;21.0
2023071414;29.0
2023071415;33.0
2023071416;47.0
2023071417;59.0
2023071418;59.0
2023071419;55.0
2023071420;2.0
2023071503;0.0
2023071504;0.0
2023071505;46.0
2023071506;60.0
2023071507;60.0
2023071508;60.0
2023071509;60.0
2023071510;60.0
2023071511;23.0
2023071512;2.0
2023071513;0.0
2023071514;14.0
2023071515;30.0
2023071516;48.0
2023071517;0.0
2023071518;0.0
2023071519;2.0
2023071520;0.0
2023071603;0.0
2023071604;0.0
2023071605;0.0
2023071606;1.0
2023071607;17.0
2023071608;45.0
2023071609;39.0
2023071610;59.0
2023071611;55.0
2023071612;60.0
2023071613;57.0
2023071614;43.0
2023071615;47.0
2023071616;50.0
2023071617;38.0
2023071618;28.0
2023071619;41.0
2023071620;0.0
2023071703;0.0
2023071704;3.0
2023071705;60.0
2023071706;60.0
2023071707;55.0
2023071708;60.0
2023071709;53.0
2023071710;36.0
2023071711;6.0
2023071712;17.0
2023071713;33.0
2023071714;32.0
2023071715;47.0
2023071716;26.0
2023071717;30.0
2023071718;17.0
2023071719;0.0
2023071720;0.0
2023071803;0.0
2023071804;20.0
2023071805;2.0
2023071806;39.0
2023071807;60.0
2023071808;60.0
2023071809;54.0
2023071810;52.0
2023071811;27.0
2023071812;20.0
2023071813;24.0
2023071814;33.0
2023071815;59.0
2023071816;44.0
2023071817;20.0
2023071818;42.0
2023071819;60.0
2023071820;10.0
2023071903;0.0
2023071904;0.0
2023071905;0.0
2023071906;21.0
2023071907;38.0
2023071908;58.0
2023071909;46.0
2023071910;13.0
2023071911;5.0
2023071912;9.0
2023071913;22.0
2023071914;10.0
2023071915;38.0
2023071916;44.0
2023071917;40.0
2023071918;20.0
2023071919;0.0
2023071920;0.0
2023072003;0.0
2023072004;0.0
2023072005;0.0
2023072006;0.0
2023072007;0.0
2023072008;0.0
2023072009;1.0
2023072010;1.0
2023072011;34.0
2023072012;29.0
2023072013;23.0
2023072014;20.0
2023072015;23.0
2023072016;20.0
2023072017;36.0
2023072018;45.0
2023072019;55.0
2023072020;10.0
2023072103;0.0
2023072104;0.0
2023072105;0.0
2023072106;0.0
2023072107;0.0
2023072108;0.0
2023072109;0.0
2023072110;2.0
2023072111;12.0
2023072112;29.0
2023072113;32.0
2023072114;3.0
2023072115;0.0
2023072116;0.0
2023072117;43.0
2023072118;31.0
2023072119;5.0
2023072120;0.0
2023072203;0.0
2023072204;1.0
2023072205;39.0
2023072206;0.0
2023072207;0.0
2023072208;0.0
2023072209;3.0
2023072210;9.0
2023072211;10.0
2023072212;14.0
2023072213;26.0
2023072214;23.0
2023072215;19.0
2023072216;44.0
2023072217;33.0
2023072218;22.0
2023072219;0.0
2023072220;0.0
2023072303;0.0
2023072304;0.0
2023072305;0.0
2023072306;0.0
2023072307;0.0
2023072308;1.0
2023072309;0.0
2023072310;34.0
2023072311;24.0
2023072312;20.0
2023072313;16.0
2023072314;1.0
2023072315;4.0
2023072316;0.0
2023072317;0.0
2023072318;2.0
2023072319;0.0
2023072320;0.0
2023072403;0.0
2023072404;0.0
2023072405;0.0
2023072406;0.0
2023072407;0.0
2023072408;17.0
2023072409;41.0
2023072410;21.0
2023072411;32.0
2023072412;27.0
2023072413;27.0
2023072414;32.0
2023072415;21.0
2023072416;10.0
2023072417;17.0
2023072418;38.0
2023072419;28.0
2023072420;0.0
2023072503;0.0
2023072504;0.0
2023072505;1.0
2023072506;0.0
2023072507;0.0
2023072508;0.0
2023072509;8.0
2023072510;10.0
2023072511;6.0
2023072512;22.0
2023072513;0.0
2023072514;0.0
2023072515;19.0
2023072516;6.0
2023072517;40.0
2023072518;0.0
2023072519;17.0
2023072520;0.0
2023072603;0.0
2023072604;0.0
2023072605;0.0
2023072606;0.0
2023073103;0.0
2023073104;0.0
2023073105;0.0
2023073106;0.0
2023073107;0.0
2023073108;0.0
2023073109;0.0
2023073110;0.0
2023073111;0.0
2023073112;0.0
2023073113;0.0
2023073114;0.0
2023073115;0.0
2023073116;0.0
2023073117;0.0
2023073118;0.0
2023073119;0.0
2023073120;0.0
2023080103;0.0
2023080104;0.0
2023080105;0.0
2023080106;0.0
2023080107;0.0
2023080108;0.0
2023080109;0.0
2023080110;0.0
2023080111;5.0
2023080112;6.0
2023080113;17.0
2023080114;12.0
2023080115;24.0
2023080116;9.0
2023080117;4.0
2023080118;2.0
2023080119;0.0
2023080120;0.0
2023080203;0.0
2023080204;0.0
2023080205;0.0
2023080206;0.0
2023080207;3.0
2023080208;0.0
2023080209;0.0
2023080210;0.0
2023080211;0.0
2023080212;0.0
2023080213;0.0
