timestamp,Germany/Luxembourg in €/MWh,last year
2025-02-18 00:00:00+01:00,130.33038489619094,62.38
2025-02-18 01:00:00+01:00,129.33168153341975,54.81
2025-02-18 02:00:00+01:00,124.83753466983907,51.44
2025-02-18 03:00:00+01:00,123.33948571531218,50.32
2025-02-18 04:00:00+01:00,125.33688432134804,50.19
2025-02-18 05:00:00+01:00,132.82713721348904,48.47
2025-02-18 06:00:00+01:00,153.79983881587862,46.02
2025-02-18 07:00:00+01:00,196.24459979167324,48.97
2025-02-18 08:00:00+01:00,218.21600069708074,47.28
2025-02-18 09:00:00+01:00,178.26800421784398,43.03
2025-02-18 10:00:00+01:00,151.3030905583338,40.45
2025-02-18 11:00:00+01:00,135.82323512254283,41.0
2025-02-18 12:00:00+01:00,129.33168153341975,40.1
2025-02-18 13:00:00+01:00,130.33038489619094,39.88
2025-02-18 14:00:00+01:00,137.82063372857868,42.87
2025-02-18 15:00:00+01:00,147.30829334626208,54.29
2025-02-18 16:00:00+01:00,163.287498433562,62.87
2025-02-18 17:00:00+01:00,179.26669540135538,72.0
2025-02-18 18:00:00+01:00,198.24200651721563,73.66
2025-02-18 19:00:00+01:00,181.26410212689777,70.59
2025-02-18 20:00:00+01:00,161.29009982752615,64.71
2025-02-18 21:00:00+01:00,148.30699264928,59.83
2025-02-18 22:00:00+01:00,142.81413024366833,57.33
2025-02-18 23:00:00+01:00,131.32908419920886,53.94
