Date;Open;High;Low;Last;Volume;Status
03.02.2020;;;;47,15;1
04.02.2020;;;;48,98;1
05.02.2020;51;51;51;51;1
06.02.2020;49,8;49,8;49,8;49,8;1
07.02.2020;;;;49,8;1
10.02.2020;;;;47,88;1
11.02.2020;48,75;49;48,75;49;1
12.02.2020;;;;49;1
13.02.2020;50,85;51,25;50,85;51,25;1
14.02.2020;;;;52,5;1
18.02.2020;;;;50,75;1
19.02.2020;;;;49,03;1
20.02.2020;;;;49,83;1
21.02.2020;47,75;47,75;47,75;47,75;1
24.02.2020;;;;47,1;1
25.02.2020;;;;48,1;1
26.02.2020;46,9;46,9;46,9;46,9;1
27.02.2020;47,25;47,25;47,25;47,25;1
28.02.2020;;;;47,25;1
02.03.2020;;;;47,63;1
03.03.2020;;;;47;1
04.03.2020;;;;47,63;1
05.03.2020;;;;48,23;1
06.03.2020;;;;48,1;1
09.03.2020;47,2;47,3;47,2;47,3;1
10.03.2020;47,25;47,5;47,25;47,5;1
11.03.2020;;;;47,5;1
12.03.2020;;;;47,45;1
16.03.2020;;;;48,35;1
17.03.2020;;;;48,35;1
18.03.2020;;;;49,6;1
19.03.2020;;;;49,33;1
20.03.2020;;;;50,2;1
23.03.2020;;;;49,1;1
24.03.2020;;;;49,1;1
25.03.2020;;;;54,3;1
26.03.2020;;;;54,3;1
27.03.2020;;;;52,55;1
30.03.2020;;;;51,33;1
31.03.2020;;;;50,83;1
01.04.2020;;;;51,6;1
02.04.2020;;;;48,9;1
03.04.2020;;;;47,28;1
06.04.2020;;;;46,18;1
07.04.2020;;;;46,85;1
08.04.2020;;;;47,38;1
09.04.2020;;;;48,25;1
10.04.2020;;;;48,25;1
14.04.2020;;;;48,4;1
15.04.2020;;;;44,75;1
16.04.2020;;;;45,33;1
17.04.2020;;;;46,7;1
21.04.2020;;;;43,85;1
22.04.2020;42,5;42,5;42,5;42,5;1
23.04.2020;42;42;42;42;1
24.04.2020;;;;41,35;1
27.04.2020;;;;39,5;1
28.04.2020;;;;38,68;1
29.04.2020;;;;39,23;1
30.04.2020;;;;38,85;1
04.05.2020;42;42;42;42;1
05.05.2020;;;;42;1
06.05.2020;43,3;43,3;43,3;43,3;1
07.05.2020;44,25;44,25;44,25;44,25;1
08.05.2020;;;;44,25;1
11.05.2020;;;;42,75;1
12.05.2020;;;;41,5;1
14.05.2020;;;;41,9;1
15.05.2020;;;;41,93;1
18.05.2020;;;;41,8;1
19.05.2020;;;;41,63;1
20.05.2020;;;;41,25;1
21.05.2020;;;;41,25;1
22.05.2020;41,65;41,65;41,65;41,65;1
25.05.2020;;;;41,5;1
26.05.2020;;;;41,5;1
27.05.2020;41,65;42;41,5;42;1
28.05.2020;;;;42;1
29.05.2020;;;;42,25;1
01.06.2020;;;;43;1
02.06.2020;;;;46,6;1
03.06.2020;;;;47,25;1
04.06.2020;;;;46,88;1
05.06.2020;;;;47,05;1
08.06.2020;;;;46,88;1
09.06.2020;;;;46,88;1
10.06.2020;;;;45,38;1
11.06.2020;;;;45,38;1
12.06.2020;;;;43,95;1
15.06.2020;;;;45,53;1
16.06.2020;;;;46,08;1
17.06.2020;44,75;44,75;44,75;44,75;1
18.06.2020;;;;44,75;1
19.06.2020;45,7;45,7;45,7;45,7;1
22.06.2020;;;;46,08;1
23.06.2020;47,7;47,7;47,7;47,7;1
24.06.2020;48,35;48,35;48,35;48,35;1
25.06.2020;48,1;48,1;48,1;48,1;1
26.06.2020;49,25;49,25;49,25;49,25;1
29.06.2020;;;;49,5;1
30.06.2020;;;;49,58;1
01.07.2020;51,1;51,1;51,1;51,1;1
03.07.2020;;;;50,93;1
06.07.2020;;;;52,25;1
07.07.2020;;;;52,38;1
08.07.2020;;;;52,95;1
09.07.2020;;;;50,38;1
10.07.2020;;;;49,4;1
13.07.2020;;;;48,75;1
14.07.2020;48,3;48,75;48,3;48,75;1
15.07.2020;;;;48,75;1
16.07.2020;;;;49,3;1
17.07.2020;;;;49,4;1
20.07.2020;;;;49,25;1
21.07.2020;;;;50,25;1
22.07.2020;;;;51,53;1
23.07.2020;;;;51,55;1
24.07.2020;;;;51,8;1
27.07.2020;;;;49,68;1
28.07.2020;;;;50,1;1
29.07.2020;;;;50,8;1
31.07.2020;;;;52,05;1
03.08.2020;;;;53;1
04.08.2020;;;;53,18;1
05.08.2020;;;;53,15;1
06.08.2020;;;;52,7;1
10.08.2020;;;;53,5;1
11.08.2020;;;;50,5;1
12.08.2020;;;;49,13;1
13.08.2020;;;;49,05;1
14.08.2020;;;;48,93;1
17.08.2020;;;;48,5;1
18.08.2020;;;;48,6;1
19.08.2020;;;;48,48;1
20.08.2020;;;;48,5;1
21.08.2020;47,35;47,35;47,35;47,35;1
24.08.2020;;;;48,2;1
25.08.2020;;;;48;1
