Date;Open;High;Low;Last;Volume;Status
03.02.2020;10,57;1
04.02.2020;10,79;1
05.02.2020;10,87;1
06.02.2020;10,5;1
07.02.2020;10,52;1
10.02.2020;10,1;1
11.02.2020;10,04;1
12.02.2020;10,17;1
13.02.2020;10,36;1
14.02.2020;10,35;1
17.02.2020;10,73;1
18.02.2020;10,79;1
19.02.2020;10,95;1
20.02.2020;10,98;1
21.02.2020;10,79;1
24.02.2020;10,44;1
25.02.2020;10,38;1
26.02.2020;10,54;1
27.02.2020;10,34;1
28.02.2020;10,28;1
02.03.2020;10,3;1
03.03.2020;10,59;1
04.03.2020;10,33;1
05.03.2020;10,29;1
06.03.2020;10;1
09.03.2020;10,03;1
10.03.2020;9,693;1
11.03.2020;10,5;1
12.03.2020;10,37;1
13.03.2020;10,28;1
16.03.2020;9,708;1
17.03.2020;9,49;1
18.03.2020;9,27;1
19.03.2020;9,54;1
20.03.2020;9,31;1
23.03.2020;8,911;1
24.03.2020;8,98;1
25.03.2020;8,86;1
26.03.2020;8,73;1
27.03.2020;8,36;1
30.03.2020;8,03;1
31.03.2020;8,11;1
01.04.2020;8,03;1
02.04.2020;8,171;1
03.04.2020;8,186;1
06.04.2020;8,55;1
07.04.2020;8,558;1
08.04.2020;8,51;1
09.04.2020;8,53;1
14.04.2020;8,14;1
15.04.2020;7,94;1
16.04.2020;8,16;1
17.04.2020;8,29;1
20.04.2020;7,89;1
21.04.2020;7,54;1
22.04.2020;7,46;1
23.04.2020;7,25;1
24.04.2020;6,96;1
27.04.2020;7,11;1
28.04.2020;7,35;1
29.04.2020;7,17;1
30.04.2020;7,45;1
04.05.2020;6,386;1
05.05.2020;6,72;1
06.05.2020;6,752;1
07.05.2020;6,72;1
08.05.2020;6,82;1
11.05.2020;6,64;1
12.05.2020;6,31;1
13.05.2020;6,097;1
14.05.2020;6,25;1
15.05.2020;6,23;1
18.05.2020;5,94;1
19.05.2020;5,59;1
20.05.2020;5,44;1
21.05.2020;4,816;1
22.05.2020;4,96;1
25.05.2020;5,76;1
26.05.2020;5,14;1
27.05.2020;4,75;1
28.05.2020;4,52;1
29.05.2020;5,395;1
01.06.2020;5,05;1
02.06.2020;5,82;1
03.06.2020;6,35;1
04.06.2020;6,37;1
05.06.2020;6,71;1
08.06.2020;6,23;1
09.06.2020;5,82;1
10.06.2020;5,77;1
11.06.2020;5,97;1
12.06.2020;6,32;1
15.06.2020;6,54;1
16.06.2020;6,26;1
17.06.2020;6,17;1
18.06.2020;6,48;1
19.06.2020;6,61;1
22.06.2020;6,49;1
23.06.2020;6,74;1
24.06.2020;6,63;1
25.06.2020;6,25;1
26.06.2020;6,1;1
29.06.2020;6,82;1
30.06.2020;7,11;1
01.07.2020;6,83;1
02.07.2020;6,9;1
03.07.2020;6,98;1
06.07.2020;7,05;1
07.07.2020;7,1;1
08.07.2020;6,88;1
09.07.2020;6,73;1
10.07.2020;6,42;1
13.07.2020;6,1;1
14.07.2020;6,04;1
15.07.2020;6,19;1
16.07.2020;6,05;1
17.07.2020;6,1;1
20.07.2020;5,71;1
21.07.2020;5,75;1
22.07.2020;5,73;1
23.07.2020;5,97;1
24.07.2020;6,28;1
27.07.2020;5,85;1
28.07.2020;6,03;1
29.07.2020;6,32;1
30.07.2020;6,337;1
31.07.2020;6,4;1
03.08.2020;7,05;1
04.08.2020;7,7;1
05.08.2020;7,64;1
06.08.2020;8,28;1
07.08.2020;8,34;1
10.08.2020;8,03;1
11.08.2020;7,88;1
12.08.2020;7,64;1
13.08.2020;7,75;1
14.08.2020;8,45;1
17.08.2020;8,63;1
18.08.2020;8,98;1
19.08.2020;8,81;1
20.08.2020;8,61;1
21.08.2020;8,02;1
24.08.2020;8,82;1
25.08.2020;9,31;1
26.08.2020;9,61;1
27.08.2020;9,32;1
28.08.2020;10,3;1
01.09.2020;11,76;1
02.09.2020;11,55;1
03.09.2020;12,26;1
04.09.2020;12,2;1
07.09.2020;11,71;1
08.09.2020;11,23;1
09.09.2020;11,16;1
10.09.2020;10,98;1
11.09.2020;10,91;1
14.09.2020;11,14;1
15.09.2020;11,34;1
16.09.2020;11,71;1
17.09.2020;11,55;1
18.09.2020;11,88;1
21.09.2020;11,91;1
22.09.2020;12,1;1
23.09.2020;12,46;1
24.09.2020;12,1;1
25.09.2020;12,09;1
28.09.2020;12,73;1
29.09.2020;12,71;1
30.09.2020;13,68;1
01.10.2020;13,59;1
02.10.2020;13,46;1
05.10.2020;13,86;1
