MESS_DATUM;F;D
2023061700;1.0;100
2023061701;0.8;330
2023061702;0.7;100
2023061703;0.5;210
2023061704;1.2;220
2023061705;3.2;220
2023061706;3.1;230
2023061707;2.9;250
2023061708;2.7;260
2023061709;3.2;270
2023061710;3.4;260
2023061711;3.5;260
2023061712;4.8;260
2023061713;5.5;270
2023061714;4.9;270
2023061715;5.4;270
2023061716;4.4;270
2023061717;3.9;290
2023061718;3.3;310
2023061719;2.1;310
2023061720;1.0;310
2023061721;1.2;310
2023061722;1.1;330
2023061723;0.7;190
2023061800;0.8;240
2023061801;1.0;220
2023061802;0.5;310
2023061803;0.6;170
2023061804;0.5;130
2023061805;0.6;180
2023061806;0.6;360
2023061807;1.0;120
2023061808;1.1;110
2023061809;1.6;100
2023061810;2.2;80
2023061811;2.1;30
2023061812;2.5;340
2023061813;2.1;340
2023061814;2.2;330
2023061815;2.2;10
2023061816;2.0;50
2023061817;2.2;50
2023061818;2.3;80
2023061819;2.0;100
2023061820;2.5;90
2023061821;2.4;60
2023061822;1.6;50
2023061823;1.0;350
2023061900;0.6;330
2023061901;0.8;40
2023061902;0.9;280
2023061903;1.0;80
2023061904;0.9;70
2023061905;0.8;30
2023061906;0.6;40
2023061907;1.6;270
2023061908;3.5;250
2023061909;4.0;260
2023061910;3.2;280
2023061911;3.2;310
2023061912;2.6;320
2023061913;2.4;10
2023061914;2.3;330
2023061915;2.8;350
2023061916;2.3;20
2023061917;2.3;60
2023061918;2.3;50
2023061919;2.2;50
2023061920;1.6;50
2023061921;1.6;80
2023061922;1.0;360
2023061923;3.2;200
2023062000;1.9;70
2023062001;1.4;170
2023062002;1.8;200
2023062003;1.2;280
2023062004;3.5;250
2023062005;5.2;230
2023062006;4.8;230
2023062007;5.2;230
2023062008;3.6;230
2023062009;2.9;150
2023062010;2.6;170
2023062011;2.4;140
2023062012;2.2;150
2023062013;3.0;90
2023062014;3.0;80
2023062015;3.9;80
2023062016;3.9;60
2023062017;3.4;70
2023062018;3.0;70
2023062019;2.5;60
2023062020;1.5;20
2023062021;2.9;270
2023062022;3.0;80
2023062023;1.8;90
2023062100;1.4;320
2023062101;2.1;270
2023062102;1.8;350
2023062103;1.4;50
2023062104;0.8;210
2023062105;0.9;240
2023062106;1.5;260
2023062107;2.5;260
2023062108;3.2;260
2023062109;3.2;320
2023062110;2.4;340
2023062111;2.8;320
2023062112;7.0;300
2023062113;3.9;300
2023062114;4.6;290
2023062115;4.2;300
2023062116;2.8;330
2023062117;2.4;350
2023062118;2.9;340
2023062119;2.1;30
2023062120;1.7;20
2023062121;1.9;30
2023062122;1.8;30
2023062123;1.5;40
2023062200;1.6;60
2023062201;2.6;50
2023062202;2.5;60
2023062203;2.5;20
2023062204;1.9;30
2023062205;1.6;30
2023062206;2.6;30
2023062207;3.1;60
2023062208;4.9;80
2023062209;5.5;90
2023062210;4.9;90
2023062211;4.2;80
2023062212;4.0;90
2023062213;4.2;90
2023062214;3.5;70
2023062215;2.9;80
2023062216;2.6;40
2023062217;3.1;60
2023062218;2.5;110
2023062219;5.7;240
2023062220;3.4;230
2023062221;9.3;250
2023062222;6.3;270
2023062223;3.2;190
2023062300;6.7;210
2023062301;8.0;240
2023062302;5.4;230
2023062303;5.1;230
2023062304;6.6;240
2023062305;6.0;230
2023062306;8.2;230
2023062307;6.4;260
2023062308;7.0;250
2023062309;8.5;240
2023062310;8.3;250
2023062311;7.4;260
2023062312;8.3;260
2023062313;8.0;270
2023062314;7.3;280
2023062315;6.7;290
2023062316;7.6;300
2023062317;7.0;290
2023062318;6.3;300
2023062319;3.8;280
2023062320;3.5;280
2023062321;2.9;260
2023062322;2.7;250
2023062323;3.0;260
2023062400;3.0;250
2023062401;3.0;250
2023062402;2.5;260
2023062403;2.5;250
2023062404;2.5;260
2023062405;1.8;250
2023062406;2.5;260
2023062407;2.3;260
2023062408;2.6;270
2023062409;2.6;280
2023062410;2.0;270
2023062411;2.4;300
2023062412;2.6;320
2023062413;2.3;310
2023062414;1.9;360
2023062415;1.8;20
2023062416;1.7;280
2023062417;2.5;190
2023062418;1.3;220
2023062419;1.6;170
2023062420;1.4;150
2023062421;0.5;250
2023062422;0.5;310
2023062423;0.4;340
2023062500;0.7;360
2023062501;0.7;90
2023062502;1.0;30
2023062503;0.7;20
2023062504;0.8;90
2023062505;0.6;60
2023062506;1.6;70
2023062507;2.2;60
2023062508;3.4;80
2023062509;3.7;80
2023062510;3.6;70
2023062511;3.7;70
2023062512;4.0;80
2023062513;4.4;100
2023062514;3.5;90
2023062515;3.1;60
2023062516;2.9;80
2023062517;2.1;80
2023062518;1.8;80
2023062519;1.6;70
2023062520;1.4;50
2023062521;0.9;50
2023062522;0.8;320
2023062523;0.6;50
2023062600;0.4;320
2023062601;0.3;250
2023062602;0.4;140
2023062603;0.6;150
2023062604;0.8;80
2023062605;0.2;0
2023062606;1.8;190
2023062607;1.9;190
2023062608;2.4;230
2023062609;2.9;250
2023062610;3.3;250
2023062611;4.4;270
2023062612;5.1;260
2023062613;6.3;270
2023062614;6.2;270
2023062615;6.3;270
2023062616;5.4;300
2023062617;4.5;290
2023062618;5.6;260
2023062619;4.4;310
2023062620;2.9;260
2023062621;3.4;270
2023062622;4.1;260
2023062623;4.2;260
2023062700;4.2;260
2023062701;3.8;250
2023062702;4.2;250
2023062703;3.5;250
2023062704;3.3;250
2023062705;2.9;250
2023062706;2.2;260
2023062707;1.9;270
2023062708;2.0;280
2023062709;2.9;310
2023062710;4.1;310
2023062711;4.6;310
2023062712;4.2;320
2023062713;4.8;320
2023062714;4.6;310
2023062715;4.0;310
2023062716;4.2;310
2023062717;4.0;320
2023062718;3.2;300
2023062719;1.6;290
2023062720;1.4;260
2023062721;2.0;260
2023062722;2.7;250
2023062723;2.8;260
2023062800;2.3;250
2023062801;1.2;300
2023062802;2.9;360
2023062803;2.3;50
2023062804;3.0;110
2023062805;1.7;150
2023062806;2.1;180
2023062807;3.2;210
2023062808;3.3;240
2023062809;2.9;260
2023062810;2.1;300
2023062811;2.1;280
2023062812;2.2;330
2023062813;2.7;300
2023062814;2.5;350
2023062815;2.9;320
2023062816;2.8;290
2023062817;3.4;290
2023062818;2.1;290
2023062819;1.1;280
2023062820;0.7;310
2023062821;0.4;160
2023062822;0.4;200
2023062823;0.6;300
2023062900;0.4;290
2023062901;0.6;60
2023062902;0.7;80
2023062903;0.8;60
2023062904;0.7;80
2023062905;0.8;120
2023062906;1.4;170
2023062907;1.7;150
2023062908;1.4;100
2023062909;3.2;90
2023062910;3.2;90
2023062911;3.6;90
2023062912;3.2;70
2023062913;2.0;80
2023062914;2.4;60
2023062915;2.0;330
2023062916;1.7;10
2023062917;2.0;10
2023062918;1.5;10
2023062919;1.0;20
2023062920;0.9;330
2023062921;0.7;350
2023062922;0.7;300
2023062923;0.6;270
2023063000;0.8;250
2023063001;2.0;240
2023063002;1.0;300
2023063003;1.7;240
2023063004;2.2;250
2023063005;2.5;240
2023063006;2.1;230
2023063007;0.8;270
2023063008;1.4;280
2023063009;3.2;250
2023063010;3.1;240
2023063011;3.6;240
2023063012;3.0;210
2023063013;3.5;230
2023063014;2.9;270
2023063015;3.7;290
2023063016;3.9;280
2023063017;2.9;320
2023063018;1.4;330
2023063019;0.8;10
2023063020;1.5;210
2023063021;2.3;340
2023063022;1.7;280
2023063023;2.0;260
2023070100;2.5;250
2023070101;2.2;250
2023070102;2.3;260
2023070103;2.5;270
2023070104;2.5;270
2023070105;3.6;270
2023070106;2.7;210
2023070107;3.6;220
2023070108;4.0;250
2023070109;3.5;240
2023070110;3.6;240
2023070111;4.1;250
2023070112;5.0;220
2023070113;5.1;190
2023070114;5.6;220
2023070115;5.9;240
2023070116;6.1;250
2023070117;6.7;240
2023070118;4.2;260
2023070119;3.5;260
2023070120;3.2;250
2023070121;5.8;240
2023070122;5.3;260
2023070123;5.8;260
2023070200;3.4;240
2023070201;4.5;230
2023070202;3.7;250
2023070203;3.9;250
2023070204;3.6;250
2023070205;3.6;230
2023070206;4.7;210
2023070207;4.3;220
2023070208;3.7;250
2023070209;2.7;310
2023070210;2.1;260
2023070211;4.0;240
2023070212;5.0;220
2023070213;5.8;250
2023070214;7.3;250
2023070215;6.0;260
2023070216;4.6;250
2023070217;4.0;270
2023070218;3.3;270
2023070219;2.9;250
2023070220;3.0;260
2023070221;2.8;250
2023070222;3.2;240
2023070223;3.3;240
2023070300;3.6;250
2023070301;3.2;250
2023070302;2.4;260
2023070303;2.5;250
2023070304;2.4;250
2023070305;1.7;250
2023070306;1.9;200
2023070307;3.1;230
2023070308;4.6;250
2023070309;4.8;240
2023070310;4.7;260
2023070311;5.4;260
2023070312;6.2;260
2023070313;5.8;250
2023070314;6.2;260
2023070315;6.3;270
2023070316;6.0;270
2023070317;4.9;270
2023070318;3.2;260
2023070319;1.9;260
2023070320;1.5;260
2023070321;1.0;230
2023070322;0.4;240
2023070323;0.8;180
2023070400;1.2;200
2023070401;1.6;220
2023070402;3.4;250
2023070403;3.5;270
2023070404;2.8;260
2023070405;3.0;230
2023070406;3.3;210
2023070407;4.1;240
2023070408;4.7;250
2023070409;4.5;260
2023070410;3.5;270
2023070411;3.3;270
2023070412;4.4;260
2023070413;4.5;240
2023070414;3.7;250
2023070415;3.8;260
2023070416;2.7;270
2023070417;2.0;310
2023070418;2.3;280
2023070419;1.7;130
2023070420;4.1;150
2023070421;3.4;160
2023070422;3.8;200
2023070423;3.4;190
2023070500;2.0;170
2023070501;1.3;100
2023070502;1.3;280
2023070503;1.4;120
2023070504;1.3;170
2023070505;0.9;190
2023070506;3.2;240
2023070507;4.3;290
2023070508;1.9;220
2023070509;3.5;210
2023070510;5.8;230
2023070511;7.4;240
2023070512;6.9;260
2023070513;3.9;290
2023070514;3.8;260
2023070515;3.9;200
2023070516;4.7;180
2023070517;4.4;150
2023070518;3.6;150
2023070519;2.7;170
2023070520;2.5;130
2023070521;1.5;300
2023070522;1.5;320
2023070523;1.0;320
2023070600;1.2;230
2023070601;1.5;240
2023070602;0.5;290
2023070603;0.7;120
2023070604;0.6;310
2023070605;0.5;80
2023070606;0.6;350
2023070607;0.6;160
2023070608;1.6;120
2023070609;2.5;90
2023070610;2.3;110
2023070611;2.0;70
2023070612;2.1;170
2023070613;1.7;330
2023070614;1.9;200
2023070615;2.1;60
2023070616;2.8;60
2023070617;1.8;80
2023070618;2.4;30
2023070619;1.6;50
2023070620;0.5;40
2023070621;0.7;20
2023070622;1.2;50
2023070623;0.6;50
2023070700;0.6;10
2023070701;0.4;60
2023070702;0.5;360
2023070703;0.3;40
2023070704;0.5;20
2023070705;0.6;60
2023070706;1.1;70
2023070707;1.4;120
2023070708;1.9;110
2023070709;3.3;80
2023070710;3.4;110
2023070711;3.3;80
2023070712;3.3;110
2023070713;3.0;90
2023070714;2.9;80
2023070715;3.3;90
2023070716;2.9;70
2023070717;2.9;60
2023070718;3.2;80
2023070719;2.5;70
2023070720;1.4;60
2023070721;1.3;40
2023070722;1.3;40
2023070723;1.1;360
2023070800;0.8;360
2023070801;0.8;360
2023070802;0.8;20
2023070803;0.8;10
2023070804;0.7;20
2023070805;1.5;20
2023070806;0.9;310
2023070807;2.1;40
2023070808;2.7;70
2023070809;1.5;70
2023070810;1.6;250
2023070811;1.8;290
2023070812;1.7;310
2023070813;2.0;30
2023070814;1.8;360
2023070815;1.8;280
2023070816;1.8;10
2023070817;2.4;140
2023070818;3.1;150
2023070819;2.1;150
2023070820;0.8;90
2023070821;1.0;20
2023070822;0.6;90
2023070823;0.6;170
2023070900;0.6;190
2023070901;0.5;360
2023070902;0.1;20
2023070903;0.5;150
2023070904;0.6;170
2023070905;0.6;180
2023070906;0.6;240
2023070907;1.3;240
2023070908;1.6;230
2023070909;1.4;220
2023070910;1.8;110
2023070911;2.1;60
2023070912;2.4;140
2023070913;2.5;130
2023070914;2.8;80
2023070915;2.5;120
2023070916;2.5;100
2023070917;2.3;70
2023070918;2.0;70
2023070919;1.6;110
2023070920;0.8;90
2023070921;0.7;20
2023070922;0.9;310
2023070923;0.6;180
2023071000;0.4;60
2023071001;0.4;90
2023071002;0.8;150
2023071003;0.8;210
2023071004;1.0;100
2023071005;0.8;160
2023071006;2.0;200
2023071007;2.6;230
2023071008;3.4;240
2023071009;3.6;260
2023071010;5.5;230
2023071011;3.3;230
2023071012;4.3;250
2023071013;5.6;240
2023071014;5.1;260
2023071015;4.5;260
2023071016;5.1;250
2023071017;4.5;260
2023071018;3.8;270
2023071019;2.0;280
2023071020;1.6;280
2023071021;2.0;310
2023071022;0.8;310
2023071023;1.2;210
