Dataset,Modelpreset,Knowncoavariables,MAE SKlearn,RMSE SKlearn,Duration,Date
less,high_quality,True,14.139667285908523,26.2228150024304,1833.2826762199402,2025.02.15-14.45
less,best_quality,True,14.139667285908523,26.2228150024304,1857.821034193039,2025.02.15-14.45
dayhead,fast_training,True,24.697214692302797,37.975048608617456,2028.6846401691437,2025.02.15-14.45
less,fast_training,True,17.474889445015197,28.72172082270387,2078.78467130661,2025.02.15-14.45
all,fast_training,True,15.884663947949463,26.41258054337455,2118.5657851696014,2025.02.15-14.45
less,hp1,True,14.284686355196744,27.451498878560823,2470.9391593933105,2025.02.15-14.45
all,hp1,True,14.265827677740537,27.444618756769938,5392.075695991516,2025.02.15-14.45
all,best_quality,True,13.047002859724966,25.865863018809968,5474.400742292404,2025.02.15-14.45
all,high_quality,True,13.066263586515843,25.905468512544363,5608.61372756958,2025.02.15-14.45
