MESS_DATUM;TT_TU;RF_TU
2023062200;18.0;88.0
2023062201;18.0;87.0
2023062202;18.0;87.0
2023062203;17.4;90.0
2023062204;16.9;94.0
2023062205;18.4;88.0
2023062206;20.2;80.0
2023062207;22.8;68.0
2023062208;24.9;60.0
2023062209;26.1;56.0
2023062210;27.5;54.0
2023062211;28.8;49.0
2023062212;29.8;48.0
2023062213;31.4;44.0
2023062214;32.2;42.0
2023062215;33.0;41.0
2023062216;32.9;37.0
2023062217;31.9;41.0
2023062218;29.7;48.0
2023062219;21.7;75.0
2023062220;20.1;85.0
2023062221;20.4;85.0
2023062222;20.0;81.0
2023062223;19.1;89.0
2023062300;19.3;77.0
2023062301;18.2;77.0
2023062302;17.7;79.0
2023062303;17.8;77.0
2023062304;18.0;76.0
2023062305;18.3;78.0
2023062306;17.5;89.0
2023062307;16.9;92.0
2023062308;17.1;85.0
2023062309;18.2;74.0
2023062310;18.9;70.0
2023062311;22.0;58.0
2023062312;22.0;51.0
2023062313;21.9;50.0
2023062314;21.4;50.0
2023062315;21.2;55.0
2023062316;19.7;56.0
2023062317;18.6;60.0
2023062318;17.9;64.0
2023062319;17.2;70.0
2023062320;16.8;71.0
2023062321;16.5;74.0
2023062322;16.1;76.0
2023062323;16.0;77.0
2023062400;15.1;86.0
2023062401;14.9;86.0
2023062402;14.9;86.0
2023062403;14.9;86.0
2023062404;15.2;85.0
2023062405;15.8;82.0
2023062406;16.7;75.0
2023062407;17.9;66.0
2023062408;18.7;58.0
2023062409;20.2;50.0
2023062410;21.1;49.0
2023062411;22.2;47.0
2023062412;22.6;42.0
2023062413;22.4;45.0
2023062414;22.4;43.0
2023062415;24.3;43.0
2023062416;23.7;43.0
2023062417;23.7;44.0
2023062418;23.0;47.0
2023062419;20.5;56.0
2023062420;16.1;77.0
2023062421;15.6;77.0
2023062422;13.1;89.0
2023062423;11.7;93.0
2023062500;11.5;93.0
2023062501;10.7;97.0
2023062502;10.0;97.0
2023062503;9.2;99.0
2023062504;9.1;100.0
2023062505;14.0;89.0
2023062506;17.0;70.0
2023062507;18.5;67.0
2023062508;21.1;55.0
