MESS_DATUM;SD_SO
2023071114;58.0
2023071115;59.0
2023071116;44.0
2023071117;59.0
2023071118;60.0
2023071119;54.0
2023071120;0.0
2023071203;0.0
2023071204;0.0
2023071205;0.0
2023071206;17.0
2023071207;3.0
2023071208;0.0
2023071209;0.0
2023071210;48.0
2023071211;60.0
2023071212;60.0
2023071213;54.0
2023071214;11.0
2023071215;0.0
2023071216;0.0
2023071217;0.0
2023071218;0.0
2023071219;0.0
2023071220;0.0
2023071303;0.0
2023071304;0.0
2023071305;0.0
2023071306;0.0
2023071307;25.0
2023071308;19.0
2023071309;1.0
2023071310;0.0
2023071311;42.0
2023071312;21.0
2023071313;55.0
2023071314;28.0
2023071315;18.0
2023071316;42.0
2023071317;57.0
2023071318;53.0
2023071319;14.0
2023071320;0.0
2023071403;0.0
2023071404;0.0
2023071405;52.0
2023071406;60.0
2023071407;60.0
2023071408;60.0
2023071409;60.0
2023071410;57.0
2023071411;60.0
2023071412;60.0
2023071413;47.0
2023071414;12.0
2023071415;19.0
2023071416;60.0
2023071417;60.0
2023071418;57.0
2023071419;60.0
2023071420;8.0
2023071503;0.0
2023071504;7.0
2023071505;60.0
2023071506;60.0
2023071507;60.0
2023071508;60.0
2023071509;60.0
2023071510;60.0
2023071511;60.0
2023071512;60.0
2023071513;60.0
2023071514;60.0
2023071515;60.0
2023071516;60.0
2023071517;60.0
2023071518;55.0
2023071519;51.0
2023071520;0.0
2023071603;0.0
2023071604;0.0
2023071605;0.0
2023071606;0.0
2023071607;0.0
2023071608;31.0
2023071609;1.0
2023071610;45.0
2023071611;28.0
2023071612;27.0
2023071613;33.0
2023071614;30.0
2023071615;33.0
2023071616;33.0
2023071617;40.0
2023071618;29.0
2023071619;36.0
2023071620;0.0
2023071703;0.0
2023071704;0.0
2023071705;0.0
2023071706;0.0
2023071707;0.0
2023071708;4.0
2023071709;59.0
2023071710;60.0
2023071711;60.0
2023071712;34.0
2023071713;59.0
2023071714;19.0
2023071715;43.0
2023071716;43.0
2023071717;57.0
2023071718;49.0
2023071719;27.0
2023071720;0.0
2023071803;0.0
2023071804;0.0
2023071805;13.0
2023071806;53.0
2023071807;60.0
2023071808;60.0
2023071809;60.0
2023071810;60.0
2023071811;60.0
2023071812;56.0
2023071813;6.0
2023071814;3.0
2023071815;37.0
2023071816;22.0
2023071817;40.0
2023071818;58.0
2023071819;0.0
2023071820;0.0
2023071903;0.0
2023071904;0.0
2023071905;30.0
2023071906;33.0
2023071907;46.0
2023071908;58.0
2023071909;60.0
2023071910;56.0
2023071911;57.0
2023071912;60.0
2023071913;58.0
2023071914;58.0
2023071915;60.0
2023071916;60.0
2023071917;60.0
2023071918;31.0
2023071919;18.0
2023071920;0.0
2023072003;0.0
2023072004;0.0
2023072005;0.0
2023072006;0.0
2023072007;7.0
2023072008;23.0
2023072009;41.0
2023072010;43.0
2023072011;43.0
2023072012;10.0
2023072013;34.0
2023072014;51.0
2023072015;56.0
2023072016;58.0
2023072017;60.0
2023072018;60.0
2023072019;28.0
2023072020;0.0
2023072103;0.0
2023072104;0.0
2023072105;0.0
2023072106;0.0
2023072107;44.0
2023072108;46.0
2023072109;1.0
2023072110;8.0
2023072111;30.0
2023072112;55.0
2023072113;55.0
2023072114;15.0
2023072115;9.0
2023072116;0.0
2023072117;0.0
2023072118;30.0
2023072119;0.0
2023072120;0.0
2023072203;0.0
2023072204;0.0
2023072205;55.0
2023072206;59.0
2023072207;54.0
2023072208;60.0
2023072209;60.0
2023072210;40.0
2023072211;52.0
2023072212;56.0
2023072213;50.0
2023072214;46.0
2023072215;58.0
2023072216;57.0
2023072217;36.0
2023072218;34.0
2023072219;0.0
2023072220;0.0
2023072303;0.0
2023072304;0.0
2023072305;48.0
2023072306;60.0
2023072307;60.0
2023072308;60.0
2023072309;60.0
2023072310;57.0
2023072311;33.0
2023072312;57.0
2023072313;59.0
2023072314;60.0
2023072315;50.0
2023072316;1.0
2023072317;3.0
2023072318;0.0
2023072319;0.0
2023072320;0.0
2023072403;0.0
2023072404;0.0
2023072405;0.0
2023072406;0.0
2023072407;41.0
2023072408;35.0
2023072409;1.0
2023072410;2.0
2023072411;3.0
2023072412;18.0
2023072413;15.0
2023072414;0.0
2023072415;36.0
2023072416;45.0
2023072417;0.0
2023072418;14.0
2023072419;0.0
2023072420;0.0
2023072503;0.0
2023072504;0.0
2023072505;0.0
2023072506;0.0
2023072507;0.0
2023072508;0.0
2023072509;0.0
2023072510;0.0
2023072511;2.0
2023072512;3.0
2023072513;16.0
2023072514;40.0
2023072515;21.0
2023072516;31.0
2023072517;2.0
2023072518;22.0
2023072519;4.0
2023072520;0.0
2023072603;0.0
2023072604;0.0
2023072605;0.0
2023072606;5.0
2023072607;0.0
2023072608;0.0
2023072609;3.0
2023072610;27.0
2023072611;52.0
2023072612;30.0
2023072613;0.0
2023072614;31.0
2023072615;45.0
2023072616;0.0
2023072617;19.0
2023072618;0.0
2023072619;0.0
2023072620;0.0
2023072703;0.0
2023072704;0.0
2023072705;42.0
2023072706;52.0
2023072707;26.0
2023072708;47.0
2023072709;47.0
2023072710;3.0
2023072711;27.0
2023072712;13.0
2023072713;16.0
2023072714;24.0
2023072715;0.0
2023072716;0.0
2023072717;0.0
2023072718;0.0
2023072719;0.0
2023072720;0.0
2023072803;0.0
2023072804;0.0
2023072805;43.0
2023072806;11.0
2023072807;43.0
2023072808;14.0
2023072809;20.0
2023072810;4.0
2023072811;1.0
2023072812;1.0
2023072813;24.0
2023072814;38.0
2023072815;0.0
2023072816;0.0
2023072817;23.0
2023072818;2.0
2023072819;0.0
2023072820;0.0
2023072903;0.0
2023072904;0.0
2023072905;18.0
2023072906;50.0
2023072907;13.0
2023072908;0.0
2023072909;0.0
2023072910;35.0
2023072911;46.0
2023072912;6.0
2023072913;42.0
2023072914;2.0
2023072915;4.0
2023072916;0.0
2023072917;0.0
2023072918;0.0
2023072919;0.0
2023072920;0.0
2023073003;0.0
2023073004;0.0
2023073005;18.0
2023073006;55.0
2023073007;44.0
2023073008;55.0
2023073009;33.0
2023073010;30.0
2023073011;57.0
2023073012;46.0
2023073013;37.0
2023073014;20.0
2023073015;44.0
2023073016;59.0
2023073017;51.0
2023073018;36.0
2023073019;4.0
2023073020;0.0
2023073103;0.0
2023073104;0.0
2023073105;36.0
2023073106;51.0
2023073107;31.0
2023073108;23.0
2023073109;54.0
2023073110;0.0
2023073111;54.0
2023073112;57.0
2023073113;58.0
2023073114;55.0
2023073115;50.0
2023073116;7.0
2023073117;0.0
2023073118;0.0
2023073119;0.0
2023073120;0.0
2023080103;0.0
2023080104;0.0
2023080105;0.0
2023080106;0.0
2023080107;0.0
2023080108;0.0
2023080109;0.0
2023080110;4.0
2023080111;0.0
2023080112;0.0
2023080113;0.0
2023080114;4.0
2023080115;15.0
2023080116;53.0
2023080117;26.0
2023080118;59.0
2023080119;37.0
2023080120;0.0
2023080203;0.0
2023080204;0.0
2023080205;32.0
2023080206;3.0
2023080207;0.0
2023080208;0.0
2023080209;0.0
2023080210;0.0
2023080211;0.0
2023080212;5.0
2023080213;55.0
2023080214;60.0
2023080215;60.0
2023080216;57.0
2023080217;18.0
2023080218;0.0
2023080219;0.0
2023080220;0.0
2023080303;0.0
