MESS_DATUM;V_N
2023080723;7
2023080800;5
2023080801;8
2023080802;6
2023080803;2
2023080804;8
2023080805;8
2023080806;8
2023080807;8
2023080808;6
2023080809;7
2023080810;7
2023080811;7
2023080812;7
2023080813;6
2023080814;7
2023080815;7
2023080816;8
2023080817;8
2023080818;8
2023080819;7
2023080820;8
2023080821;8
2023080822;7
2023080823;8
2023080900;8
2023080901;8
2023080902;8
2023080903;7
2023080904;8
2023080905;7
2023080906;8
2023080907;8
2023080908;8
2023080909;8
2023080910;8
2023080911;8
2023080912;7
2023080913;8
2023080914;8
2023080915;8
2023080916;8
2023080917;8
2023080918;8
2023080919;8
2023080920;8
2023080921;8
2023080922;8
2023080923;7
2023081000;8
2023081001;7
2023081002;8
2023081003;8
2023081004;4
2023081005;0
2023081006;0
2023081007;0
2023081008;0
2023081009;0
2023081010;0
2023081011;0
2023081012;0
2023081013;0
2023081014;0
2023081015;0
2023081016;0
2023081017;0
2023081018;0
2023081019;0
2023081020;0
2023081021;0
2023081022;0
2023081023;0
2023081100;0
2023081101;0
2023081102;0
2023081103;0
2023081104;0
2023081105;0
2023081106;0
2023081107;0
2023081108;0
2023081109;0
2023081110;0
2023081111;0
2023081112;0
2023081113;0
2023081114;0
2023081115;0
2023081116;4
2023081117;7
2023081118;5
2023081119;8
2023081120;8
2023081121;3
2023081122;4
2023081123;0
2023081200;1
2023081201;7
2023081202;0
2023081203;0
2023081204;0
2023081205;0
2023081206;4
2023081207;7
2023081208;8
2023081209;8
2023081210;8
2023081211;8
2023081212;1
2023081213;0
2023081214;8
2023081215;7
2023081216;8
2023081217;4
2023081218;7
2023081219;2
2023081220;4
2023081221;8
2023081222;6
2023081223;6
2023081300;1
2023081301;8
2023081302;8
2023081303;7
2023081304;8
2023081305;3
2023081306;5
2023081307;7
2023081308;8
2023081309;4
2023081310;7
2023081311;7
2023081312;7
2023081313;7
2023081314;8
2023081315;8
2023081316;8
2023081317;7
2023081318;8
2023081319;8
2023081320;7
2023081321;8
2023081322;8
2023081323;8
2023081400;8
2023081401;8
2023081402;8
2023081403;3
2023081404;8
2023081405;8
2023081406;8
2023081407;8
2023081408;4
2023081409;0
2023081410;8
2023081411;1
